id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers
tweet_24,iPhone 15 is a regret buying 😢,negative,iPhone 15,2025-08-19 04:25:40,user_157,96,160,8925
tweet_25,Google is mixed feelings @mention,neutral,Google,2025-08-05 20:15:54,user_127,73,338,6920
tweet_26,totally worth it iPhone 15! #hate,positive,iPhone 15,2025-08-23 01:07:58,user_406,83,466,6884
tweet_27,Apple is a pathetic ,negative,Apple,2025-08-17 08:57:37,user_180,31,377,9262
tweet_28,Microsoft is a broken 👍,negative,Microsoft,2025-08-05 11:07:40,user_287,58,423,8397
tweet_29,highly recommend Netflix! via @user,positive,Netflix,2025-08-15 02:26:22,user_216,69,223,5594
tweet_30,iPhone 15 is ordinary 😍,neutral,iPhone 15,2025-08-17 11:29:50,user_440,91,134,2403
tweet_31,Google is a pathetic #amazing,negative,Google,2025-08-19 10:45:51,user_146,77,249,9031
tweet_32,perfect choice Climate Change! agree?,positive,Climate Change,2025-08-03 13:18:57,user_265,71,227,1774
tweet_33,Netflix is typical 😢,neutral,Netflix,2025-08-17 18:32:51,user_29,96,220,4925
tweet_34,Google is could be better #trending,neutral,Google,2025-08-18 01:33:10,user_394,42,296,6899
tweet_35,Apple is nothing special omg,neutral,Apple,2025-08-06 18:19:34,user_252,11,257,9355
tweet_36,Amazon is reasonable option via @user,neutral,Amazon,2025-08-22 04:23:05,user_2,4,367,2093
tweet_37,perfect choice Microsoft! agree?,positive,Microsoft,2025-08-05 22:15:09,user_343,60,70,1269
tweet_38,Climate Change is a regret buying what do you think?,negative,Climate Change,2025-08-17 20:07:25,user_305,66,208,2784
tweet_39,Tesla Model 3 is standard quality what do you think?,neutral,Tesla Model 3,2025-08-13 10:45:56,user_127,71,312,4675
tweet_40,top notch Amazon! lol,positive,Amazon,2025-08-27 20:54:31,user_224,81,389,2256
tweet_41,totally worth it Tesla Model 3! RT @user:,positive,Tesla Model 3,2025-08-20 16:33:28,user_346,64,242,8677
tweet_42,ChatGPT is ordinary 😍,neutral,ChatGPT,2025-08-06 04:31:35,user_4,89,85,3925
tweet_43,perfect choice Amazon! lol,positive,Amazon,2025-08-02 09:43:31,user_474,60,315,1035
tweet_44,iPhone 15 is a total disappointment check this out!,negative,iPhone 15,2025-08-25 01:12:42,user_391,8,276,526
tweet_45,excellent service Amazon! #fail,positive,Amazon,2025-08-10 11:38:44,user_409,58,199,3566
tweet_46,ChatGPT is a not worth it agree?,negative,ChatGPT,2025-08-29 07:05:13,user_305,40,439,9585
tweet_47,totally worth it iPhone 15! 😢,positive,iPhone 15,2025-08-20 13:36:03,user_296,75,449,6976
tweet_48,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-29 04:03:00,user_490,53,211,5820
tweet_49,Google is standard quality agree?,neutral,Google,2025-08-05 00:57:47,user_31,93,271,4239
tweet_50,best ever Apple! #hate,positive,Apple,2025-08-26 18:56:15,user_313,96,187,3841
tweet_51,Google is moderate check this out!,neutral,Google,2025-08-25 02:42:40,user_316,24,109,9576
tweet_52,Olympics 2024 is average product omg,neutral,Olympics 2024,2025-08-24 13:09:35,user_301,69,56,9922
tweet_53,Olympics 2024 is a disgusting @mention,negative,Olympics 2024,2025-08-26 10:04:26,user_92,12,270,3608
tweet_54,Climate Change is typical #amazing,neutral,Climate Change,2025-08-29 20:07:27,user_399,80,114,4356
tweet_55,brilliant ChatGPT! #love,positive,ChatGPT,2025-08-31 06:56:40,user_62,1,312,5700
tweet_56,Netflix is nothing special #trending,neutral,Netflix,2025-08-29 06:40:18,user_96,35,434,8974
tweet_57,Olympics 2024 is moderate lol,neutral,Olympics 2024,2025-08-05 06:06:46,user_359,45,370,9184
tweet_58,Netflix is ordinary 🔥,neutral,Netflix,2025-08-07 14:01:36,user_441,29,151,4434
tweet_59,Climate Change is a total disappointment #hate,negative,Climate Change,2025-08-13 09:28:15,user_267,60,422,4211
tweet_60,Netflix is a complete failure 😢,negative,Netflix,2025-08-03 14:29:13,user_345,3,444,5613
tweet_61,iPhone 15 is a frustrating experience #amazing,negative,iPhone 15,2025-08-11 12:34:00,user_297,32,130,4600
tweet_62,top notch Google! #fail,positive,Google,2025-08-21 13:33:18,user_293,80,282,5085
tweet_63,awesome Olympics 2024! via @user,positive,Olympics 2024,2025-08-23 04:19:44,user_35,31,441,1715
tweet_64,perfect choice iPhone 15! what do you think?,positive,iPhone 15,2025-08-26 09:52:20,user_407,41,441,1402
tweet_65,amazing product Netflix! RT @user:,positive,Netflix,2025-08-30 17:38:11,user_90,63,394,1445
tweet_66,totally worth it ChatGPT! thoughts?,positive,ChatGPT,2025-08-29 22:29:44,user_436,75,286,5762
tweet_67,Google is typical 👎,neutral,Google,2025-08-29 19:11:54,user_266,32,364,8096
tweet_68,highly recommend Netflix! #fail!!!,positive,Netflix,2025-08-03 03:53:26,user_331,66,240,6765
tweet_69,Olympics 2024 is a complete failure 😢,negative,Olympics 2024,2025-08-18 15:31:11,user_108,64,123,2303
tweet_70,blown away Olympics 2024! #hashtag,positive,Olympics 2024,2025-08-10 05:33:31,user_307,14,302,4171
tweet_71,amazing product Microsoft! omg,positive,Microsoft,2025-08-17 18:47:20,user_414,51,87,4391
tweet_72,Amazon is it's okay ,neutral,Amazon,2025-08-31 09:37:15,user_118,56,0,253
tweet_73,amazing product Netflix! 👎,positive,Netflix,2025-08-16 20:36:12,user_91,73,395,2031
tweet_74,ChatGPT is average product thoughts?,neutral,ChatGPT,2025-08-18 06:04:15,user_483,78,300,4015
tweet_75,Climate Change is a not worth it #fail,negative,Climate Change,2025-08-11 03:32:09,user_112,70,398,8254
tweet_76,amazing product Google! RT @user:,positive,Google,2025-08-16 00:02:38,user_78,4,297,7871
tweet_77,Amazon is could be better thoughts?,neutral,Amazon,2025-08-06 14:14:00,user_468,59,67,6646
tweet_78,Microsoft is a disgusting RT @user:,negative,Microsoft,2025-08-26 23:37:09,user_415,70,281,3483
tweet_79,amazing product Netflix! #trending,positive,Netflix,2025-08-22 01:06:43,user_200,19,12,2492
tweet_80,exceeded expectations Olympics 2024! 👍,positive,Olympics 2024,2025-08-27 01:21:58,user_24,74,217,6861
tweet_81,highly recommend iPhone 15! #hashtag,positive,iPhone 15,2025-08-22 18:16:26,user_206,47,423,6305
tweet_82,ChatGPT is typical 😢,neutral,ChatGPT,2025-08-03 05:16:38,user_144,97,119,7574
tweet_83,totally worth it iPhone 15! RT @user:,positive,iPhone 15,2025-08-28 00:19:11,user_463,73,238,5510
tweet_84,Climate Change is a poor service ,negative,Climate Change,2025-08-21 16:20:25,user_98,47,195,3819
tweet_85,amazing product iPhone 15! via @user,positive,iPhone 15,2025-08-22 05:25:35,user_170,15,299,8115
tweet_86,Microsoft is it's okay @mention,neutral,Microsoft,2025-08-04 22:08:16,user_304,89,319,8044
tweet_87,Amazon is a avoid this 💯,negative,Amazon,2025-08-10 01:17:53,user_227,51,325,2095
tweet_88,highly recommend Amazon! RT @user:,positive,Amazon,2025-08-21 06:52:36,user_279,9,187,5718
tweet_89,exceeded expectations Tesla Model 3! omg,positive,Tesla Model 3,2025-08-16 16:06:15,user_142,53,55,3193
tweet_90,Climate Change is a pathetic 👍,negative,Climate Change,2025-08-04 07:23:29,user_496,51,89,8478
tweet_91,Climate Change is a useless #love,negative,Climate Change,2025-08-29 10:21:27,user_388,69,146,6362
tweet_92,Amazon is mixed feelings #love,neutral,Amazon,2025-08-27 17:31:06,user_119,30,423,9991
tweet_93,totally worth it Olympics 2024! via @user!!!,positive,Olympics 2024,2025-08-05 04:59:44,user_356,89,292,8236
tweet_94,Amazon is a horrible check this out!,negative,Amazon,2025-08-12 18:49:50,user_62,15,55,5908
tweet_95,Climate Change is decent enough 😢,neutral,Climate Change,2025-08-23 10:26:42,user_292,4,491,9585
tweet_96,Netflix is not bad what do you think?,neutral,Netflix,2025-08-03 06:12:28,user_128,48,322,113
tweet_97,iPhone 15 is reasonable option what do u think?,neutral,iPhone 15,2025-08-04 15:54:42,user_243,36,116,1856
tweet_98,Apple is a useless #fail,negative,Apple,2025-08-24 16:43:29,user_276,52,337,4583
tweet_99,best ever Netflix! #fail,positive,Netflix,2025-08-11 14:22:53,user_86,27,449,6651
tweet_100,Netflix is a complete failure 💯,negative,Netflix,2025-08-10 10:35:22,user_90,94,53,8442
tweet_101,Microsoft is decent enough via @user,neutral,Microsoft,2025-08-17 11:30:30,user_35,69,155,8759
tweet_102,Google is moderate #hashtag,neutral,Google,2025-08-14 14:31:07,user_226,15,223,6440
tweet_103,ChatGPT is ordinary 👍!!!,neutral,ChatGPT,2025-08-31 08:43:05,user_440,69,220,4458
tweet_104,Amazon is a useless agree?,negative,Amazon,2025-08-03 16:51:03,user_239,83,1,8733
tweet_105,iPhone 15 is fair price #trending!!!,neutral,iPhone 15,2025-08-08 02:54:49,user_53,69,462,1568
tweet_106,Climate Change is could be better 😢,neutral,Climate Change,2025-08-07 12:02:46,user_393,37,424,2867
tweet_107,ChatGPT is as expected RT @user:,neutral,ChatGPT,2025-08-20 13:26:20,user_113,89,211,4404
tweet_108,Climate Change is a regret buying 👎,negative,Climate Change,2025-08-08 08:02:36,user_364,7,274,2194
tweet_109,excellent service Apple! 👎,positive,Apple,2025-08-15 05:25:17,user_466,50,35,2468
tweet_110,Tesla Model 3 is typical ,neutral,Tesla Model 3,2025-08-01 23:46:12,user_439,74,462,6705
tweet_111,Climate Change is a pathetic #love,negative,Climate Change,2025-08-27 22:58:06,user_30,32,443,6584
tweet_112,highly recommend iPhone 15! agree?,positive,iPhone 15,2025-08-24 12:26:20,user_436,34,307,7864
tweet_113,highly recommend Microsoft! 😍,positive,Microsoft,2025-08-05 03:00:51,user_60,63,254,1575
tweet_114,incredible quality Google! #hate,positive,Google,2025-08-27 23:10:48,user_70,83,190,1032
tweet_115,ChatGPT is ordinary agree?,neutral,ChatGPT,2025-08-08 04:18:12,user_1,26,348,5770
tweet_116,ChatGPT is a avoid this omg,negative,ChatGPT,2025-08-22 13:16:58,user_284,27,67,6295
tweet_117,perfect choice Amazon! 👍,positive,Amazon,2025-08-08 06:03:37,user_465,97,435,9020
tweet_118,exceeded expectations Amazon! thoughts?,positive,Amazon,2025-08-30 12:35:56,user_86,55,400,3031
tweet_119,Netflix is moderate 👍,neutral,Netflix,2025-08-21 15:59:01,user_366,40,91,2686
tweet_120,highly recommend Microsoft! lol,positive,Microsoft,2025-08-17 21:14:34,user_412,20,325,5058
tweet_121,Amazon is a pathetic 🔥,negative,Amazon,2025-08-17 18:14:40,user_63,31,348,8796
tweet_122,amazing product Apple! check this out!,positive,Apple,2025-08-11 20:52:11,user_241,23,126,2074
tweet_123,Google is moderate 👍,neutral,Google,2025-08-23 19:36:30,user_192,39,181,5415
tweet_124,love this ChatGPT! thoughts?,positive,ChatGPT,2025-08-16 16:03:34,user_27,17,66,2984
tweet_125,iPhone 15 is fair price 😢,neutral,iPhone 15,2025-08-11 00:29:57,user_303,46,304,3748
tweet_126,Google is as expected 💯,neutral,Google,2025-08-25 04:46:26,user_200,59,145,3494
tweet_127,awesome Climate Change! 😢,positive,Climate Change,2025-08-08 10:37:40,user_116,3,28,5056
tweet_128,Google is typical @mention,neutral,Google,2025-08-22 08:09:35,user_274,46,444,3219
tweet_129,ChatGPT is nothing special thoughts?,neutral,ChatGPT,2025-08-16 12:19:29,user_49,88,189,9429
tweet_130,Apple is could be better check this out!...,neutral,Apple,2025-08-24 15:38:49,user_183,98,350,525
tweet_131,Google is mixed feelings thoughts?,neutral,Google,2025-08-22 19:49:35,user_168,49,389,2855
tweet_132,totally worth it Netflix! 💯,positive,Netflix,2025-08-17 09:07:00,user_261,8,165,9551
tweet_133,Apple is a pathetic #trending,negative,Apple,2025-08-27 06:24:58,user_194,51,58,9796
tweet_134,exceeded expectations Google! omg,positive,Google,2025-08-17 19:37:52,user_373,28,390,5614
tweet_135,iPhone 15 is nothing special RT @user:,neutral,iPhone 15,2025-08-23 08:55:48,user_465,64,456,1996
tweet_136,best ever Microsoft! 👎,positive,Microsoft,2025-08-26 03:08:37,user_403,58,73,6110
tweet_137,amazing product Microsoft! #trending,positive,Microsoft,2025-08-22 16:35:19,user_341,85,473,2001
tweet_138,Tesla Model 3 is a total disappointment 🔥,negative,Tesla Model 3,2025-08-31 02:13:51,user_335,42,387,2421
tweet_139,blown away Apple! #fail,positive,Apple,2025-08-28 04:32:26,user_362,78,224,2863
tweet_140,ChatGPT is a regret buying check this out!,negative,ChatGPT,2025-08-03 05:42:39,user_121,30,394,4872
tweet_141,Microsoft is a total disappointment via @user!!!,negative,Microsoft,2025-08-29 07:22:34,user_228,60,451,4954
tweet_142,Climate Change is a broken omg,negative,Climate Change,2025-08-12 21:05:59,user_165,28,337,2052
tweet_143,GOOGLE IS REASONABLE OPTION 👍,neutral,Google,2025-08-11 01:29:32,user_93,14,183,2102
tweet_144,incredible quality Climate Change! #fail,positive,Climate Change,2025-08-20 20:38:15,user_340,66,393,5161
tweet_145,Google is a disgusting #fail,negative,Google,2025-08-11 00:55:56,user_272,37,35,2650
tweet_146,ChatGPT is a waste of money #trending,negative,ChatGPT,2025-08-31 14:26:09,user_186,64,306,8440
tweet_147,blown away Apple! lol,positive,Apple,2025-08-22 04:40:52,user_63,61,446,7424
tweet_148,excellent service iPhone 15! #hashtag,positive,iPhone 15,2025-08-08 01:39:45,user_479,37,191,9955
tweet_149,Apple is acceptable #love,neutral,Apple,2025-08-17 15:10:05,user_24,9,252,8829
tweet_150,Google is not bad check this out!,neutral,Google,2025-08-02 19:55:37,user_293,72,206,6934
tweet_151,Google is standard quality @mention,neutral,Google,2025-08-27 03:51:24,user_107,90,191,3312
tweet_152,Amazon is not bad #amazing,neutral,Amazon,2025-08-27 06:19:51,user_11,64,5,2972
tweet_153,Amazon is a frustrating experience omg,negative,Amazon,2025-08-16 09:53:37,user_438,13,127,5915
tweet_154,Google is ordinary #hate,neutral,Google,2025-08-07 23:02:49,user_9,77,322,9515
tweet_155,brilliant Climate Change! #love,positive,Climate Change,2025-08-19 15:30:12,user_373,52,283,106
tweet_156,ChatGPT is a useless 👍,negative,ChatGPT,2025-08-05 05:28:08,user_377,97,168,3136
tweet_157,iPhone 15 is a total disappointment ...,negative,iPhone 15,2025-08-29 10:03:24,user_407,37,228,2077
tweet_158,Google is a worst purchase check this out!,negative,Google,2025-08-19 08:01:40,user_329,35,439,5130
tweet_159,Climate Change is ordinary 👎,neutral,Climate Change,2025-08-11 18:30:02,user_316,76,319,2995
tweet_160,Amazon is standard quality RT @user:,neutral,Amazon,2025-08-04 13:32:59,user_362,19,139,9498
tweet_161,Microsoft is it's okay omg,neutral,Microsoft,2025-08-23 07:12:55,user_293,50,334,212
tweet_162,iPhone 15 is as expected #hate,neutral,iPhone 15,2025-08-02 14:51:09,user_153,54,364,8323
tweet_163,Amazon is fair price 😢,neutral,Amazon,2025-08-07 02:16:39,user_484,44,454,9135
tweet_164,Microsoft is a broken agree?,negative,Microsoft,2025-08-17 17:58:57,user_296,64,472,4107
tweet_165,brilliant Microsoft! #love,positive,Microsoft,2025-08-12 23:58:17,user_168,29,350,7063
tweet_166,Olympics 2024 is a terrible quality 👎,negative,Olympics 2024,2025-08-11 10:32:47,user_233,31,496,1021
tweet_167,iPhone 15 is not bad 👎,neutral,iPhone 15,2025-08-24 20:20:49,user_81,11,364,4327
tweet_168,iPhone 15 is a complete failure agree?,negative,iPhone 15,2025-08-24 21:23:15,user_376,22,156,4138
tweet_169,iPhone 15 is moderate omg,neutral,iPhone 15,2025-08-09 15:32:51,user_174,14,169,8348
tweet_170,Climate Change is fair price #hate,neutral,Climate Change,2025-08-18 00:20:08,user_8,98,219,1541
tweet_171,excellent service Google! #trending,positive,Google,2025-08-20 18:55:52,user_207,66,471,8239
tweet_172,Netflix is a broken 🔥,negative,Netflix,2025-08-02 01:49:04,user_369,46,119,7997
tweet_173,Google is fair price !!!,neutral,Google,2025-08-21 05:38:25,user_401,91,85,1957
tweet_174,Apple is a not worth it @mention,negative,Apple,2025-08-05 12:03:42,user_338,16,131,5452
tweet_175,best ever Netflix! 😍,positive,Netflix,2025-08-10 16:57:07,user_52,96,233,8287
tweet_176,iPhone 15 is a poor service #amazing,negative,iPhone 15,2025-08-10 19:08:22,user_370,89,38,5751
tweet_177,top notch Climate Change! what do you think?,positive,Climate Change,2025-08-12 04:14:25,user_26,45,381,9075
tweet_178,Netflix is not bad 👍,neutral,Netflix,2025-08-15 18:04:02,user_119,47,54,6159
tweet_179,totally worth it ChatGPT! #amazing,positive,ChatGPT,2025-08-18 18:47:33,user_351,77,232,1202
tweet_180,totally worth it iPhone 15! via @user,positive,iPhone 15,2025-08-27 07:56:43,user_436,57,342,2504
tweet_181,Google is a not worth it #amazing,negative,Google,2025-08-21 03:22:55,user_61,81,422,7436
tweet_182,iPhone 15 is a waste of money via @user,negative,iPhone 15,2025-08-04 19:38:06,user_444,31,57,5464
tweet_183,Microsoft is reasonable option #amazing,neutral,Microsoft,2025-08-16 20:39:18,user_125,98,247,4563
tweet_184,iPhone 15 is decent enough #trending,neutral,iPhone 15,2025-08-03 12:21:07,user_302,36,453,1281
tweet_185,amazing product Netflix! #trending,positive,Netflix,2025-08-07 12:03:29,user_204,32,10,2814
tweet_186,brilliant Climate Change! 😢,positive,Climate Change,2025-08-12 10:24:21,user_206,23,78,6176
tweet_187,ChatGPT is a disgusting thoughts?,negative,ChatGPT,2025-08-25 13:32:14,user_66,37,189,3933
tweet_188,fantastic experience Apple! #trending,positive,Apple,2025-08-25 17:12:46,user_140,9,398,3081
tweet_189,perfect choice Amazon! via @user,positive,Amazon,2025-08-26 13:42:52,user_244,51,82,3888
tweet_190,iPhone 15 is mixed feelings #trending!!!,neutral,iPhone 15,2025-08-13 14:06:08,user_141,19,191,6514
tweet_191,Google is moderate check this out!,neutral,Google,2025-08-28 10:54:09,user_64,42,193,1805
tweet_192,Olympics 2024 is a useless RT @user:,negative,Olympics 2024,2025-08-27 21:06:18,user_211,22,12,3605
tweet_193,ChatGPT is a broken omg,negative,ChatGPT,2025-08-28 00:14:59,user_149,11,144,7771
tweet_194,incredible quality Google! #love,positive,Google,2025-08-03 11:18:27,user_164,27,85,4532
tweet_195,Microsoft is as expected ,neutral,Microsoft,2025-08-11 19:12:35,user_423,70,365,1162
tweet_196,highly recommend Olympics 2024! omg,positive,Olympics 2024,2025-08-25 01:38:13,user_406,57,420,5188
tweet_197,fantastic experience Google! ,positive,Google,2025-08-29 22:51:31,user_34,9,247,2483
tweet_198,blown away Netflix! 💯,positive,Netflix,2025-08-28 13:47:52,user_440,93,24,9943
tweet_199,best ever Tesla Model 3! @mention,positive,Tesla Model 3,2025-08-22 07:10:49,user_214,74,51,9645
tweet_200,exceeded expectations Apple! RT @user:,positive,Apple,2025-08-26 11:03:40,user_65,34,150,2034
tweet_201,blown away Tesla Model 3! #trending,positive,Tesla Model 3,2025-08-05 06:05:16,user_291,29,174,8229
tweet_202,TOTALLY WORTH IT GOOGLE! 🔥,positive,Google,2025-08-11 16:58:29,user_490,20,77,3457
tweet_203,Amazon is a poor service check this out!,negative,Amazon,2025-08-14 15:12:30,user_10,18,318,9017
tweet_204,ChatGPT is a poor service 👍,negative,ChatGPT,2025-08-16 08:46:24,user_460,22,94,3118
tweet_205,Microsoft is mixed feelings RT @user:,neutral,Microsoft,2025-08-05 21:37:05,user_476,5,262,4653
tweet_206,excellent service Amazon! check this out!,positive,Amazon,2025-08-29 01:30:55,user_458,25,18,6187
tweet_207,outstanding Microsoft! check this out!,positive,Microsoft,2025-08-27 08:03:07,user_413,15,91,2809
tweet_208,Google is acceptable agree?,neutral,Google,2025-08-27 15:12:49,user_414,67,396,6474
tweet_209,Climate Change is average product ,neutral,Climate Change,2025-08-16 21:13:57,user_157,11,8,8901
tweet_210,Climate Change is a disgusting #love,negative,Climate Change,2025-08-25 18:33:55,user_327,6,265,1555
tweet_211,highly recommend Apple! 🔥,positive,Apple,2025-08-19 04:59:31,user_59,68,138,1996
tweet_212,Climate Change is a horrible #love,negative,Climate Change,2025-08-20 12:48:15,user_491,96,49,7395
tweet_213,blown away Google! 💯,positive,Google,2025-08-16 13:05:20,user_267,28,206,1313
tweet_214,fantastic experience Tesla Model 3! #fail!!!,positive,Tesla Model 3,2025-08-28 17:02:32,user_38,99,14,6584
tweet_215,fantastic experience Netflix! RT @user:,positive,Netflix,2025-08-24 12:43:44,user_395,73,108,2715
tweet_216,Netflix is a worst purchase 💯,negative,Netflix,2025-08-20 00:21:04,user_97,95,465,409
tweet_217,Apple is not bad agree?,neutral,Apple,2025-08-10 03:42:56,user_70,38,298,7788
tweet_218,Apple is a horrible 🔥,negative,Apple,2025-08-15 19:50:50,user_54,65,11,565
tweet_219,Tesla Model 3 is a useless 🔥,negative,Tesla Model 3,2025-08-13 02:22:02,user_463,26,254,2928
tweet_220,ChatGPT is a avoid this 👎,negative,ChatGPT,2025-08-04 13:10:19,user_461,13,334,6038
tweet_221,outstanding Amazon! #fail,positive,Amazon,2025-08-04 09:40:34,user_295,74,80,500
tweet_222,Netflix is a poor service 🔥,negative,Netflix,2025-08-20 07:34:02,user_131,95,220,8168
tweet_223,Apple is a complete failure #trending,negative,Apple,2025-08-15 12:37:27,user_431,14,441,4745
tweet_224,blown away ChatGPT! 😍,positive,ChatGPT,2025-08-09 16:51:22,user_14,91,106,6528
tweet_225,Apple is a regret buying RT @user:,negative,Apple,2025-08-12 04:46:00,user_487,27,416,9984
tweet_226,brilliant Olympics 2024! what do you think?,positive,Olympics 2024,2025-08-18 08:31:04,user_436,80,81,6853
tweet_227,Microsoft is a avoid this 🔥,negative,Microsoft,2025-08-15 19:45:19,user_279,25,77,9082
tweet_228,perfect choice Apple! omg,positive,Apple,2025-08-08 15:48:15,user_75,77,369,3988
tweet_229,amazing product Microsoft! #trending,positive,Microsoft,2025-08-10 07:42:54,user_127,57,171,8923
tweet_230,love this Climate Change! 💯,positive,Climate Change,2025-08-16 15:09:38,user_104,38,109,8385
tweet_231,highly recommend Netflix! thoughts?,positive,Netflix,2025-08-27 16:40:28,user_80,27,446,2722
tweet_232,Climate Change is acceptable #love,neutral,Climate Change,2025-08-12 05:27:31,user_446,27,80,6540
tweet_233,ChatGPT is a worst purchase what do you think?,negative,ChatGPT,2025-08-25 10:13:13,user_497,96,59,307
tweet_234,Microsoft is nothing special #love,neutral,Microsoft,2025-08-05 13:40:07,user_306,71,1,7484
tweet_235,ChatGPT is a worst purchase thoughts?,negative,ChatGPT,2025-08-22 14:15:45,user_350,35,174,430
tweet_236,awesome Olympics 2024! thoughts?,positive,Olympics 2024,2025-08-07 14:15:08,user_445,11,280,3873
tweet_237,Tesla Model 3 is decent enough #fail,neutral,Tesla Model 3,2025-08-29 06:52:51,user_166,75,366,755
tweet_238,perfect choice Tesla Model 3! ...,positive,Tesla Model 3,2025-08-28 12:09:12,user_49,92,178,4191
tweet_239,best ever Apple! #love,positive,Apple,2025-08-11 13:35:01,user_109,59,178,4683
tweet_240,exceeded expectations Google! RT @user:,positive,Google,2025-08-23 11:43:19,user_5,2,182,189
tweet_241,iPhone 15 is mixed feelings #amazing,neutral,iPhone 15,2025-08-18 05:37:19,user_363,53,250,8168
tweet_242,BRILLIANT APPLE! 💯,positive,Apple,2025-08-14 10:09:08,user_186,73,113,9744
tweet_243,Google is as expected 👎,neutral,Google,2025-08-21 19:55:45,user_209,53,43,4501
tweet_244,Netflix is a total disappointment RT @user:,negative,Netflix,2025-08-26 02:07:26,user_442,19,287,2297
tweet_245,highly recommend ChatGPT! #love,positive,ChatGPT,2025-08-22 14:36:14,user_248,36,474,3604
tweet_246,Microsoft is could be better @mention,neutral,Microsoft,2025-08-05 20:56:14,user_386,91,451,9521
tweet_247,awesome Tesla Model 3! 🔥,positive,Tesla Model 3,2025-08-18 05:48:35,user_140,64,281,1431
tweet_248,Apple is a broken #hate,negative,Apple,2025-08-02 13:12:32,user_382,76,95,8831
tweet_249,outstanding Tesla Model 3! @mention,positive,Tesla Model 3,2025-08-18 02:55:42,user_12,58,209,502
tweet_250,excellent service iPhone 15! 😍,positive,iPhone 15,2025-08-13 21:42:20,user_497,36,281,6583
tweet_251,Apple is a horrible #hashtag,negative,Apple,2025-08-02 15:50:26,user_307,57,258,8473
tweet_252,top notch Amazon! lol,positive,Amazon,2025-08-15 12:23:22,user_173,42,365,4973
tweet_253,fantastic experience iPhone 15! #hashtag,positive,iPhone 15,2025-08-02 06:17:14,user_75,26,170,6774
tweet_254,amazing product Apple! 💯,positive,Apple,2025-08-10 04:32:20,user_116,31,486,3604
tweet_255,Google is not bad @mention,neutral,Google,2025-08-11 06:08:12,user_158,62,285,8581
tweet_256,best ever ChatGPT! via @user,positive,ChatGPT,2025-08-29 16:11:30,user_366,93,87,3599
tweet_257,top notch Tesla Model 3! via @user,positive,Tesla Model 3,2025-08-31 02:33:46,user_196,15,326,4338
tweet_258,brilliant iPhone 15! #trending,positive,iPhone 15,2025-08-23 03:49:44,user_392,68,58,3482
tweet_259,excellent service Climate Change! 👎,positive,Climate Change,2025-08-29 11:06:20,user_29,33,376,4634
tweet_260,iPhone 15 is it's okay 💯,neutral,iPhone 15,2025-08-19 07:29:21,user_294,56,338,2176
