Order_ID,Date,Customer_ID,Product,Category,Quantity,Unit_Price,Total_Sales,Total_Cost,Profit,Region,Sales_Channel,Customer_Segment
ORD_965842,2023-08-31,CUST_3581,T-Shirt,Clothing,6,26.28,157.68,109.71,47.97,South,In-Store,Premium
ORD_677693,2023-08-31,CUST_2308,Fiction,Books,5,18.41,92.05,59.33,32.72,Central,In-Store,Premium
ORD_110096,2023-09-01,CUST_7635,Gym Equipment,Sports,2,293.65,587.3,424.56,162.74,North,Mobile App,Budget
ORD_460437,2023-09-01,CUST_2866,Biography,Books,5,17.79,88.95,63.69,25.26,South,Mobile App,Budget
ORD_659763,2023-09-01,CUST_7276,Comics,Books,7,7.61,53.27,33.49,19.78,East,In-Store,Premium
ORD_791091,2023-09-01,CUST_8960,Headphones,Electronics,2,115.42,230.84,156.97,73.87,West,Online,Regular
ORD_226993,2023-09-01,CUST_4529,Non-Fiction,Books,6,31.03,186.18,117.55,68.63,North,Online,Budget
ORD_882672,2023-09-02,CUST_2056,Smartphone,Electronics,1,547.38,547.38,338.54,208.84,East,Mobile App,Regular
ORD_972460,2023-09-02,CUST_1477,Camera,Electronics,2,405.99,811.98,540.86,271.12,Central,Online,Premium
ORD_856530,2023-09-02,CUST_4725,Dress,Clothing,8,38.87,310.96,198.74,112.22,West,In-Store,Budget
ORD_243497,2023-09-02,CUST_3667,Kitchen Appliances,Home & Garden,3,116.76,350.28,266.85,83.43,West,In-Store,Budget
ORD_466709,2023-09-02,CUST_1084,Bicycle,Sports,2,462.85,925.7,629.86,295.84,North,Mobile App,Premium
ORD_314140,2023-09-02,CUST_3318,Headphones,Electronics,2,100.2,200.4,127.2,73.2,North,Online,Premium
ORD_328758,2023-09-02,CUST_6696,Fiction,Books,5,21.2,106.0,78.47,27.53,East,Online,Premium
ORD_764846,2023-09-03,CUST_9072,Plants,Home & Garden,1,18.75,18.75,11.99,6.76,West,In-Store,Budget
ORD_843677,2023-09-03,CUST_6448,Tablet,Electronics,2,396.92,793.84,553.26,240.58,East,Mobile App,Premium
ORD_727882,2023-09-03,CUST_1670,Textbook,Books,3,77.29,231.87,150.26,81.61,West,In-Store,Budget
ORD_413823,2023-09-03,CUST_7132,Hoodie,Clothing,8,33.3,266.4,207.38,59.02,West,In-Store,Regular
ORD_384061,2023-09-03,CUST_4353,Laptop,Electronics,1,725.36,725.36,519.35,206.01,West,In-Store,Regular
ORD_624813,2023-09-03,CUST_8627,Jacket,Clothing,3,141.7,425.1,269.49,155.61,East,Online,Premium
ORD_957710,2023-09-03,CUST_2362,Camera,Electronics,1,403.25,403.25,247.9,155.35,North,In-Store,Regular
ORD_631741,2023-09-04,CUST_4889,Football,Sports,3,33.86,101.58,69.52,32.06,North,Mobile App,Premium
ORD_675030,2023-09-04,CUST_7553,Jacket,Clothing,2,144.99,289.98,231.86,58.12,East,Mobile App,Budget
ORD_672875,2023-09-04,CUST_5876,Comics,Books,3,7.68,23.04,18.25,4.79,West,In-Store,Premium
ORD_995304,2023-09-04,CUST_7541,T-Shirt,Clothing,3,24.81,74.43,50.44,23.99,Central,Online,Premium
ORD_494763,2023-09-04,CUST_7943,Jacket,Clothing,3,145.75,437.25,284.39,152.86,East,In-Store,Regular
ORD_540656,2023-09-04,CUST_6601,T-Shirt,Clothing,8,21.88,175.04,139.96,35.08,South,In-Store,Regular
ORD_619618,2023-09-04,CUST_8222,Furniture,Home & Garden,2,327.47,654.94,448.62,206.32,South,Mobile App,Regular
ORD_261177,2023-09-05,CUST_9426,Headphones,Electronics,1,109.83,109.83,85.96,23.87,Central,In-Store,Premium
ORD_217933,2023-09-05,CUST_2716,Decor,Home & Garden,3,55.15,165.45,115.23,50.22,South,Mobile App,Budget
ORD_767084,2023-09-05,CUST_6158,Furniture,Home & Garden,1,344.61,344.61,267.0,77.61,South,Online,Regular
ORD_245993,2023-09-05,CUST_4314,Smartwatch,Electronics,2,350.42,700.84,545.59,155.25,North,In-Store,Budget
ORD_363165,2023-09-05,CUST_5915,Sneakers,Clothing,3,75.58,226.74,138.21,88.53,West,Mobile App,Budget
ORD_160579,2023-09-05,CUST_8376,Bedding,Home & Garden,3,82.14,246.42,172.5,73.92,West,Mobile App,Regular
ORD_315161,2023-09-05,CUST_2703,Furniture,Home & Garden,2,389.22,778.44,532.42,246.02,East,Mobile App,Premium
ORD_546399,2023-09-05,CUST_7867,Biography,Books,6,21.91,131.46,98.93,32.53,South,Mobile App,Regular
ORD_922041,2023-09-06,CUST_1550,Hoodie,Clothing,5,50.62,253.1,177.97,75.13,South,Mobile App,Budget
ORD_200432,2023-09-06,CUST_1981,Decor,Home & Garden,3,62.27,186.81,117.19,69.62,North,In-Store,Premium
ORD_687686,2023-09-06,CUST_4998,T-Shirt,Clothing,7,22.72,159.04,114.92,44.12,Central,In-Store,Budget
ORD_818798,2023-09-06,CUST_2702,Laptop,Electronics,1,677.02,677.02,435.92,241.1,Central,In-Store,Regular
ORD_591989,2023-09-06,CUST_5698,Smartwatch,Electronics,1,332.11,332.11,244.95,87.16,East,Mobile App,Premium
ORD_477432,2023-09-06,CUST_7978,Headphones,Electronics,3,106.74,320.22,202.01,118.21,South,Mobile App,Regular
ORD_698388,2023-09-06,CUST_2482,Headphones,Electronics,1,104.5,104.5,67.79,36.71,Central,Mobile App,Regular
ORD_343459,2023-09-07,CUST_8718,Smartwatch,Electronics,1,250.85,250.85,165.5,85.35,Central,Mobile App,Regular
ORD_611854,2023-09-07,CUST_7179,Smartwatch,Electronics,2,237.31,474.62,293.55,181.07,South,In-Store,Premium
ORD_875786,2023-09-07,CUST_5578,Plants,Home & Garden,5,20.56,102.8,77.06,25.74,Central,In-Store,Regular
ORD_124145,2023-09-07,CUST_4685,Laptop,Electronics,2,706.7,1413.4,1127.14,286.26,Central,Mobile App,Budget
ORD_950078,2023-09-07,CUST_9804,Bedding,Home & Garden,2,85.97,171.94,121.51,50.43,North,Mobile App,Premium
ORD_201955,2023-09-07,CUST_3613,Furniture,Home & Garden,2,299.8,599.6,385.58,214.02,Central,Online,Regular
ORD_896984,2023-09-07,CUST_3121,Plants,Home & Garden,6,16.47,98.82,71.69,27.13,West,Online,Budget
ORD_326172,2023-09-08,CUST_2435,Kitchen Appliances,Home & Garden,4,153.67,614.68,459.97,154.71,Central,Mobile App,Regular
ORD_880093,2023-09-08,CUST_8335,Camera,Electronics,1,504.31,504.31,320.98,183.33,South,In-Store,Premium
ORD_614150,2023-09-08,CUST_6780,Non-Fiction,Books,8,19.48,155.84,105.71,50.13,South,In-Store,Regular
ORD_768324,2023-09-08,CUST_3064,Tennis Racket,Sports,2,52.53,105.06,70.5,34.56,Central,Mobile App,Regular
ORD_939853,2023-09-08,CUST_9581,Decor,Home & Garden,1,47.75,47.75,34.63,13.12,Central,Mobile App,Budget
ORD_162499,2023-09-08,CUST_6787,Bicycle,Sports,1,440.29,440.29,267.51,172.78,West,In-Store,Regular
ORD_569110,2023-09-08,CUST_5617,Headphones,Electronics,3,95.24,285.72,219.48,66.24,West,Online,Regular
ORD_699743,2023-09-08,CUST_4977,Decor,Home & Garden,1,52.17,52.17,38.45,13.72,Central,Mobile App,Premium
ORD_435708,2023-09-08,CUST_9856,Furniture,Home & Garden,1,320.2,320.2,220.78,99.42,North,In-Store,Budget
ORD_756984,2023-09-08,CUST_6176,Decor,Home & Garden,4,54.96,219.84,157.46,62.38,South,Online,Budget
ORD_603028,2023-09-08,CUST_4360,Sportswear,Sports,8,39.72,317.76,198.53,119.23,Central,Mobile App,Premium
ORD_816116,2023-09-08,CUST_9951,Kitchen Appliances,Home & Garden,4,142.89,571.56,452.04,119.52,East,Online,Regular
ORD_815252,2023-09-09,CUST_6456,Jeans,Clothing,3,60.26,180.78,115.24,65.54,South,Online,Budget
ORD_505649,2023-09-09,CUST_9957,Headphones,Electronics,1,130.27,130.27,90.6,39.67,North,Mobile App,Regular
ORD_643244,2023-09-09,CUST_1592,Plants,Home & Garden,4,19.8,79.2,51.82,27.38,East,Online,Regular
ORD_312544,2023-09-09,CUST_8850,Running Shoes,Sports,3,111.71,335.13,246.07,89.06,East,In-Store,Premium
ORD_760874,2023-09-09,CUST_6873,Kitchen Appliances,Home & Garden,3,129.44,388.32,239.72,148.6,South,Online,Premium
ORD_225008,2023-09-09,CUST_2392,Biography,Books,8,16.12,128.96,87.71,41.25,Central,Online,Regular
ORD_379223,2023-09-09,CUST_3781,Children Books,Books,8,15.04,120.32,88.13,32.19,North,Mobile App,Regular
ORD_757860,2023-09-09,CUST_3336,Smartphone,Electronics,1,609.95,609.95,462.63,147.32,East,Mobile App,Premium
ORD_327989,2023-09-09,CUST_4649,Camera,Electronics,2,333.16,666.32,470.09,196.23,South,In-Store,Budget
ORD_582874,2023-09-10,CUST_7443,Running Shoes,Sports,3,79.66,238.98,154.57,84.41,West,Online,Regular
ORD_204520,2023-09-10,CUST_7868,Tools,Home & Garden,4,39.3,157.2,120.37,36.83,South,Online,Budget
ORD_716555,2023-09-10,CUST_8968,Children Books,Books,2,14.72,29.44,21.94,7.5,South,Online,Regular
ORD_732295,2023-09-10,CUST_8139,Headphones,Electronics,4,96.26,385.04,294.62,90.42,North,In-Store,Budget
ORD_831295,2023-09-10,CUST_5786,Gym Equipment,Sports,1,196.8,196.8,152.26,44.54,Central,Online,Budget
ORD_766068,2023-09-10,CUST_6624,Tennis Racket,Sports,1,61.88,61.88,41.86,20.02,North,In-Store,Budget
ORD_746494,2023-09-10,CUST_3810,Fiction,Books,1,16.2,16.2,9.8,6.4,West,Mobile App,Regular
ORD_765104,2023-09-10,CUST_6846,Smartphone,Electronics,1,726.58,726.58,573.4,153.18,Central,In-Store,Regular
ORD_303784,2023-09-10,CUST_9991,Tennis Racket,Sports,3,63.68,191.04,126.02,65.02,South,Online,Premium
ORD_391835,2023-09-10,CUST_3459,Tablet,Electronics,1,273.72,273.72,207.44,66.28,South,Mobile App,Budget
ORD_868153,2023-09-11,CUST_3325,Jacket,Clothing,3,128.24,384.72,232.14,152.58,North,Mobile App,Budget
ORD_719583,2023-09-11,CUST_3332,Fiction,Books,5,15.49,77.45,60.9,16.55,East,Mobile App,Regular
ORD_987594,2023-09-11,CUST_5422,Headphones,Electronics,4,92.26,369.04,252.89,116.15,East,Mobile App,Budget
ORD_403572,2023-09-11,CUST_9639,Gym Equipment,Sports,1,253.25,253.25,189.31,63.94,Central,Online,Premium
ORD_127428,2023-09-11,CUST_2913,Sportswear,Sports,8,38.9,311.2,239.36,71.84,East,Mobile App,Regular
ORD_643984,2023-09-11,CUST_9318,Tablet,Electronics,2,414.78,829.56,649.91,179.65,East,Online,Premium
ORD_135730,2023-09-11,CUST_3070,T-Shirt,Clothing,8,30.28,242.24,178.78,63.46,North,In-Store,Premium
ORD_766542,2023-09-12,CUST_3453,Headphones,Electronics,1,135.53,135.53,103.39,32.14,East,In-Store,Regular
ORD_608093,2023-09-12,CUST_8166,Bedding,Home & Garden,4,104.92,419.68,321.03,98.65,North,In-Store,Budget
ORD_999568,2023-09-12,CUST_8410,Smartphone,Electronics,1,662.05,662.05,484.34,177.71,West,Online,Budget
ORD_655108,2023-09-12,CUST_6740,Running Shoes,Sports,4,114.76,459.04,356.79,102.25,East,Online,Regular
ORD_785459,2023-09-12,CUST_5594,Gym Equipment,Sports,2,238.34,476.68,314.04,162.64,South,Mobile App,Premium
ORD_468204,2023-09-13,CUST_2256,Sportswear,Sports,1,36.42,36.42,26.38,10.04,West,Mobile App,Premium
ORD_445426,2023-09-13,CUST_5570,Children Books,Books,1,16.61,16.61,11.23,5.38,East,Mobile App,Budget
ORD_978397,2023-09-13,CUST_5590,Tablet,Electronics,1,326.51,326.51,222.27,104.24,West,Online,Regular
ORD_952657,2023-09-13,CUST_9228,Tennis Racket,Sports,3,67.49,202.47,138.92,63.55,North,Mobile App,Budget
ORD_334659,2023-09-13,CUST_9245,Hoodie,Clothing,5,44.97,224.85,153.82,71.03,East,In-Store,Regular
ORD_688015,2023-09-14,CUST_1450,Smartwatch,Electronics,1,207.35,207.35,144.22,63.13,South,Mobile App,Budget
ORD_137519,2023-09-14,CUST_5623,Tablet,Electronics,2,324.81,649.62,479.68,169.94,East,Mobile App,Budget
ORD_750566,2023-09-14,CUST_7179,Children Books,Books,3,14.52,43.56,27.73,15.83,Central,In-Store,Regular
ORD_566154,2023-09-14,CUST_4545,Bedding,Home & Garden,1,69.64,69.64,48.93,20.71,Central,Mobile App,Regular
ORD_980436,2023-09-14,CUST_3635,T-Shirt,Clothing,8,29.68,237.44,160.09,77.35,North,In-Store,Premium
ORD_350895,2023-09-14,CUST_8429,Football,Sports,5,22.24,111.2,80.34,30.86,West,Mobile App,Premium
ORD_143831,2023-09-14,CUST_9320,Plants,Home & Garden,1,23.56,23.56,15.4,8.16,East,Mobile App,Premium
ORD_843963,2023-09-15,CUST_7626,Fiction,Books,7,19.39,135.73,89.3,46.43,Central,Mobile App,Regular
ORD_479361,2023-09-15,CUST_3898,Textbook,Books,3,112.2,336.6,232.46,104.14,East,In-Store,Premium
ORD_763732,2023-09-15,CUST_5732,Bedding,Home & Garden,3,118.01,354.03,249.57,104.46,North,In-Store,Regular
ORD_379378,2023-09-15,CUST_7397,Non-Fiction,Books,1,27.04,27.04,18.01,9.03,North,Online,Budget
ORD_349183,2023-09-15,CUST_5720,Bedding,Home & Garden,4,116.88,467.52,284.98,182.54,North,In-Store,Premium
ORD_969211,2023-09-15,CUST_4522,Dress,Clothing,4,47.96,191.84,153.37,38.47,Central,Mobile App,Budget
ORD_185257,2023-09-15,CUST_6269,Plants,Home & Garden,7,24.81,173.67,120.27,53.4,South,Mobile App,Regular
ORD_218487,2023-09-15,CUST_1511,Smartwatch,Electronics,2,310.81,621.62,426.15,195.47,North,Mobile App,Premium
ORD_626195,2023-09-15,CUST_7723,Textbook,Books,4,100.94,403.76,312.74,91.02,South,Mobile App,Regular
ORD_935297,2023-09-16,CUST_2889,Sneakers,Clothing,4,90.98,363.92,283.92,80.0,North,Mobile App,Premium
ORD_825760,2023-09-16,CUST_1019,Bicycle,Sports,1,288.5,288.5,212.63,75.87,West,Mobile App,Budget
ORD_831206,2023-09-16,CUST_5911,Headphones,Electronics,2,110.99,221.98,172.35,49.63,South,Online,Premium
ORD_564122,2023-09-16,CUST_2485,Dress,Clothing,3,48.08,144.24,100.55,43.69,Central,Online,Premium
ORD_673867,2023-09-16,CUST_3024,Camera,Electronics,2,308.84,617.68,457.31,160.37,West,In-Store,Regular
ORD_873325,2023-09-16,CUST_1343,Smartphone,Electronics,2,668.3,1336.6,846.89,489.71,West,Mobile App,Budget
ORD_878341,2023-09-16,CUST_1441,Sportswear,Sports,4,29.43,117.72,86.13,31.59,Central,Mobile App,Premium
ORD_314339,2023-09-16,CUST_3960,Headphones,Electronics,3,115.03,345.09,221.37,123.72,East,In-Store,Budget
ORD_740903,2023-09-16,CUST_9161,Sportswear,Sports,5,34.2,171.0,106.58,64.42,Central,Mobile App,Budget
ORD_248724,2023-09-17,CUST_7804,Laptop,Electronics,1,900.75,900.75,544.77,355.98,Central,Online,Premium
ORD_215526,2023-09-17,CUST_9737,Hoodie,Clothing,1,37.6,37.6,25.03,12.57,West,Mobile App,Budget
ORD_419891,2023-09-17,CUST_4444,Sneakers,Clothing,1,99.21,99.21,66.86,32.35,East,In-Store,Premium
ORD_150692,2023-09-17,CUST_3736,Football,Sports,7,31.19,218.33,167.96,50.37,South,In-Store,Premium
ORD_679577,2023-09-17,CUST_5144,Running Shoes,Sports,1,109.87,109.87,79.96,29.91,South,In-Store,Regular
ORD_630148,2023-09-17,CUST_1697,Football,Sports,7,28.12,196.84,140.09,56.75,West,Mobile App,Budget
ORD_786745,2023-09-17,CUST_2039,Fiction,Books,6,19.64,117.84,75.66,42.18,East,Online,Budget
ORD_606559,2023-09-17,CUST_6736,Tools,Home & Garden,6,50.15,300.9,210.76,90.14,North,Mobile App,Premium
ORD_842225,2023-09-17,CUST_2163,Football,Sports,4,27.46,109.84,70.93,38.91,North,Mobile App,Premium
ORD_859417,2023-09-17,CUST_4490,Bedding,Home & Garden,4,98.75,395.0,261.13,133.87,East,Online,Regular
ORD_904201,2023-09-17,CUST_9380,Hoodie,Clothing,8,45.12,360.96,288.62,72.34,South,In-Store,Premium
ORD_941131,2023-09-17,CUST_8484,Smartwatch,Electronics,1,307.69,307.69,219.68,88.01,East,Online,Premium
ORD_370746,2023-09-18,CUST_6744,Kitchen Appliances,Home & Garden,3,130.93,392.79,266.96,125.83,West,Online,Budget
ORD_375106,2023-09-18,CUST_1961,Plants,Home & Garden,2,15.64,31.28,21.41,9.87,West,Mobile App,Budget
ORD_147489,2023-09-18,CUST_2196,Textbook,Books,2,126.86,253.72,187.77,65.95,Central,In-Store,Regular
ORD_636511,2023-09-18,CUST_2527,Plants,Home & Garden,4,20.65,82.6,53.61,28.99,North,In-Store,Regular
ORD_787132,2023-09-18,CUST_8326,Fiction,Books,4,15.38,61.52,45.6,15.92,East,In-Store,Regular
ORD_120581,2023-09-18,CUST_8724,Smartphone,Electronics,2,675.65,1351.3,876.35,474.95,West,In-Store,Budget
ORD_357110,2023-09-18,CUST_5214,Textbook,Books,4,79.93,319.72,233.16,86.56,West,In-Store,Budget
ORD_557485,2023-09-18,CUST_9043,Comics,Books,7,9.34,65.38,51.12,14.26,North,Mobile App,Regular
ORD_582732,2023-09-18,CUST_1618,Plants,Home & Garden,3,25.33,75.99,47.7,28.29,North,In-Store,Premium
ORD_479267,2023-09-18,CUST_1635,Sportswear,Sports,2,31.06,62.12,39.32,22.8,Central,Mobile App,Budget
ORD_602901,2023-09-18,CUST_5456,Sportswear,Sports,6,32.39,194.34,126.27,68.07,Central,Mobile App,Premium
ORD_330401,2023-09-19,CUST_8583,Fiction,Books,6,18.28,109.68,70.28,39.4,South,Online,Regular
ORD_558074,2023-09-19,CUST_2136,Sportswear,Sports,8,33.45,267.6,169.13,98.47,East,Mobile App,Budget
ORD_590744,2023-09-19,CUST_8295,Tennis Racket,Sports,2,90.61,181.22,122.16,59.06,North,Mobile App,Premium
ORD_269922,2023-09-19,CUST_3968,Biography,Books,6,20.19,121.14,82.57,38.57,South,Online,Premium
ORD_643945,2023-09-19,CUST_9207,Hoodie,Clothing,4,35.89,143.56,95.66,47.9,Central,Online,Regular
ORD_936865,2023-09-19,CUST_8968,T-Shirt,Clothing,7,25.23,176.61,108.1,68.51,West,Online,Budget
ORD_575606,2023-09-19,CUST_2949,Biography,Books,7,17.73,124.11,75.98,48.13,West,In-Store,Budget
ORD_637898,2023-09-19,CUST_5761,Headphones,Electronics,4,108.75,435.0,304.95,130.05,East,Mobile App,Budget
ORD_275018,2023-09-19,CUST_4450,Hoodie,Clothing,5,44.03,220.15,136.3,83.85,North,In-Store,Premium
ORD_696035,2023-09-19,CUST_7078,Sportswear,Sports,4,30.54,122.16,87.89,34.27,West,In-Store,Budget
ORD_793965,2023-09-20,CUST_3271,Headphones,Electronics,1,114.93,114.93,75.61,39.32,South,Mobile App,Premium
ORD_235670,2023-09-20,CUST_2960,Tools,Home & Garden,7,39.23,274.61,218.95,55.66,West,Online,Regular
ORD_584290,2023-09-20,CUST_7671,Bedding,Home & Garden,1,76.02,76.02,59.8,16.22,West,In-Store,Premium
ORD_992482,2023-09-20,CUST_9043,Tools,Home & Garden,8,35.7,285.6,176.19,109.41,West,In-Store,Premium
ORD_638697,2023-09-20,CUST_4908,Dress,Clothing,3,53.53,160.59,114.17,46.42,North,In-Store,Budget
ORD_561859,2023-09-20,CUST_3389,Bedding,Home & Garden,4,108.69,434.76,278.22,156.54,Central,Online,Premium
ORD_774044,2023-09-21,CUST_2785,Non-Fiction,Books,8,21.49,171.92,108.1,63.82,Central,In-Store,Regular
ORD_110972,2023-09-21,CUST_9427,Tennis Racket,Sports,3,69.63,208.89,135.02,73.87,East,Online,Budget
ORD_886626,2023-09-21,CUST_5374,Non-Fiction,Books,1,16.53,16.53,12.18,4.35,South,Online,Regular
ORD_266931,2023-09-21,CUST_5371,Hoodie,Clothing,7,50.49,353.43,239.1,114.33,South,Mobile App,Premium
ORD_587524,2023-09-21,CUST_7039,Camera,Electronics,2,538.56,1077.12,781.1,296.02,North,Online,Regular
ORD_410833,2023-09-21,CUST_1718,Sportswear,Sports,8,33.3,266.4,176.91,89.49,West,Mobile App,Premium
ORD_841649,2023-09-22,CUST_8400,Football,Sports,2,28.54,57.08,35.8,21.28,South,Online,Budget
ORD_599988,2023-09-22,CUST_2208,Textbook,Books,1,86.84,86.84,52.63,34.21,Central,Mobile App,Premium
ORD_669460,2023-09-22,CUST_3466,Hoodie,Clothing,1,40.36,40.36,24.92,15.44,North,Online,Premium
ORD_361177,2023-09-22,CUST_1050,Sneakers,Clothing,1,102.71,102.71,78.1,24.61,North,Mobile App,Premium
ORD_232307,2023-09-22,CUST_9534,Bedding,Home & Garden,4,67.74,270.96,212.32,58.64,West,In-Store,Regular
ORD_372793,2023-09-23,CUST_1823,Camera,Electronics,2,405.72,811.44,521.21,290.23,South,In-Store,Regular
ORD_793948,2023-09-24,CUST_4525,Bicycle,Sports,1,365.55,365.55,258.69,106.86,West,In-Store,Regular
ORD_585175,2023-09-24,CUST_2640,Running Shoes,Sports,1,134.44,134.44,83.21,51.23,North,Mobile App,Regular
ORD_521990,2023-09-24,CUST_4441,Dress,Clothing,3,37.66,112.98,78.08,34.9,West,Mobile App,Premium
ORD_106190,2023-09-24,CUST_1509,Headphones,Electronics,3,90.75,272.25,176.44,95.81,South,Mobile App,Premium
ORD_774888,2023-09-24,CUST_6841,Plants,Home & Garden,4,19.88,79.52,57.06,22.46,East,Mobile App,Premium
ORD_156961,2023-09-24,CUST_2602,Hoodie,Clothing,7,32.14,224.98,149.68,75.3,West,In-Store,Regular
ORD_518200,2023-09-24,CUST_1037,Comics,Books,5,10.34,51.7,37.79,13.91,South,Mobile App,Regular
ORD_397252,2023-09-24,CUST_5999,Jeans,Clothing,4,85.81,343.24,262.18,81.06,North,Online,Premium
ORD_215806,2023-09-24,CUST_9278,Football,Sports,5,20.91,104.55,80.33,24.22,West,Mobile App,Premium
ORD_311802,2023-09-24,CUST_1606,Jacket,Clothing,4,111.47,445.88,279.69,166.19,West,Online,Regular
ORD_106731,2023-09-24,CUST_8516,Football,Sports,3,24.01,72.03,44.38,27.65,South,Mobile App,Regular
ORD_935635,2023-09-24,CUST_2582,Tablet,Electronics,1,363.08,363.08,270.42,92.66,South,Mobile App,Premium
