id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers,cleaned_text,no_stopwords,lemmatized_text,original_length,cleaned_length,final_length,word_count,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment,ml_sentiment,ml_confidence,ensemble_sentiment
tweet_11,Microsoft is a horrible 💯,negative,Microsoft,2025-08-30 10:16:44,user_59,44,488,7507,microsoft is a horrible,microsoft horrible,microsoft horrible,25,23,18,2,-1.0,1.0,negative,-0.5423,0.0,0.778,0.222,negative,negative,0.8333863210522362,negative
tweet_12,Microsoft is acceptable check this out!,neutral,Microsoft,2025-08-06 03:25:16,user_49,38,270,4385,microsoft is acceptable check this out!,microsoft acceptable check !,microsoft acceptable check,39,39,26,3,0.0,0.0,neutral,0.3182,0.535,0.0,0.465,positive,neutral,0.7764840933939215,neutral
tweet_13,Apple is a disgusting 👎,negative,Apple,2025-08-27 04:41:46,user_75,93,468,8773,apple is a disgusting,apple disgusting,apple disgusting,23,21,16,2,-1.0,1.0,negative,-0.5267,0.0,0.773,0.227,negative,negative,0.8515748541069124,negative
tweet_14,Netflix is a pathetic thoughts?,negative,Netflix,2025-08-11 02:14:03,user_430,55,354,2731,netflix is a pathetic thoughts?,netflix pathetic thoughts ?,netflix pathetic thought,31,31,24,3,-1.0,1.0,negative,-0.5719,0.0,0.649,0.351,negative,negative,0.771557504429357,negative
tweet_15,Google is moderate #hashtag,neutral,Google,2025-08-17 15:45:59,user_18,63,376,2986,google is moderate hashtag,google moderate hashtag,google moderate hashtag,27,26,23,3,0.0,0.7,neutral,0.0,0.0,0.0,1.0,neutral,neutral,0.7758197068486391,neutral
tweet_16,Amazon is as expected #amazing,neutral,Amazon,2025-08-05 13:56:00,user_490,17,454,5896,amazon is as expected amazing,amazon expected amazing,amazon expected amazing,30,29,23,3,0.25000000000000006,0.65,positive,0.6705,0.846,0.0,0.154,positive,neutral,0.764526909188892,positive
tweet_17,brilliant Olympics 2024! 👍,positive,Olympics 2024,2025-08-22 23:54:13,user_124,97,456,1910,brilliant olympics 2024!,brilliant olympics 2024 !,brilliant olympics,26,24,18,2,0.9,1.0,positive,0.5859,0.792,0.0,0.208,positive,positive,0.8888438011244205,positive
tweet_18,Tesla Model 3 is ordinary 🔥,neutral,Tesla Model 3,2025-08-22 19:49:26,user_18,46,218,9987,tesla model 3 is ordinary,tesla model 3 ordinary,tesla model ordinary,27,25,20,3,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.7426748352935696,neutral
tweet_19,best ever iPhone 15! omg,positive,iPhone 15,2025-08-15 18:44:15,user_24,92,280,6281,best ever iphone 15! omg,best ever iphone 15 ! omg,best ever iphone omg,24,24,20,4,1.0,0.3,positive,0.6369,0.583,0.0,0.417,positive,positive,0.7831438329398623,positive
tweet_20,Microsoft is not bad check this out!,neutral,Microsoft,2025-08-31 09:53:56,user_90,33,52,1812,microsoft is not bad check this out!,microsoft not bad check !,microsoft not bad check,36,36,23,4,0.3499999999999999,0.6666666666666666,positive,0.431,0.487,0.0,0.513,positive,neutral,0.7815878365089418,positive
tweet_21,ChatGPT is ordinary omg,neutral,ChatGPT,2025-08-09 10:47:58,user_488,30,350,8447,chatgpt is ordinary omg,chatgpt ordinary omg,chatgpt ordinary omg,23,23,20,3,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.7728420186127122,neutral
tweet_22,Climate Change is a disgusting 😍,negative,Climate Change,2025-08-19 08:22:32,user_15,26,90,562,climate change is a disgusting,climate change disgusting,climate change disgusting,32,30,25,3,-1.0,1.0,negative,-0.5267,0.0,0.63,0.37,negative,negative,0.8047351089110175,negative
tweet_23,ChatGPT is a complete failure omg,negative,ChatGPT,2025-08-11 19:05:14,user_127,51,434,6358,chatgpt is a complete failure omg,chatgpt complete failure omg,chatgpt complete failure omg,33,33,28,4,-0.10833333333333332,0.35,negative,-0.5106,0.0,0.524,0.476,negative,negative,0.8621499268468246,negative
tweet_24,iPhone 15 is a regret buying 😢,negative,iPhone 15,2025-08-19 04:25:40,user_157,96,160,8925,iphone 15 is a regret buying,iphone 15 regret buying,iphone regret buying,30,28,20,3,0.0,0.0,neutral,-0.4215,0.0,0.583,0.417,negative,negative,0.873440145062711,negative
tweet_25,Google is mixed feelings @mention,neutral,Google,2025-08-05 20:15:54,user_127,73,338,6920,google is mixed feelings,google mixed feelings,google mixed feeling,33,24,20,3,0.0,0.25,neutral,0.128,0.429,0.0,0.571,positive,neutral,0.9098882845579597,neutral
tweet_26,totally worth it iPhone 15! #hate,positive,iPhone 15,2025-08-23 01:07:58,user_406,83,466,6884,totally worth it iphone 15! hate,totally worth iphone 15 ! hate,totally worth iphone hate,33,32,25,4,-0.25,0.5,negative,-0.4158,0.269,0.486,0.245,negative,positive,0.8019796686516973,positive
tweet_27,Apple is a pathetic ,negative,Apple,2025-08-17 08:57:37,user_180,31,377,9262,apple is a pathetic,apple pathetic,apple pathetic,20,19,14,2,-1.0,1.0,negative,-0.5719,0.0,0.787,0.213,negative,negative,0.8708996184125724,negative
tweet_28,Microsoft is a broken 👍,negative,Microsoft,2025-08-05 11:07:40,user_287,58,423,8397,microsoft is a broken,microsoft broken,microsoft broken,23,21,16,2,-0.4,0.4,negative,-0.4767,0.0,0.756,0.244,negative,negative,0.8577766814089525,negative
tweet_29,highly recommend Netflix! via @user,positive,Netflix,2025-08-15 02:26:22,user_216,69,223,5594,highly recommend netflix! via,highly recommend netflix !,highly recommend netflix,35,29,24,3,0.16,0.54,positive,0.4201,0.583,0.0,0.417,positive,positive,0.9248015040490615,positive
tweet_30,iPhone 15 is ordinary 😍,neutral,iPhone 15,2025-08-17 11:29:50,user_440,91,134,2403,iphone 15 is ordinary,iphone 15 ordinary,iphone ordinary,23,21,15,2,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8638884569872574,neutral
tweet_31,Google is a pathetic #amazing,negative,Google,2025-08-19 10:45:51,user_146,77,249,9031,google is a pathetic amazing,google pathetic amazing,google pathetic amazing,29,28,23,3,-0.19999999999999996,0.95,negative,0.0258,0.447,0.435,0.118,neutral,negative,0.7765818619889948,negative
tweet_32,perfect choice Climate Change! agree?,positive,Climate Change,2025-08-03 13:18:57,user_265,71,227,1774,perfect choice climate change! agree?,perfect choice climate change ! agree ?,perfect choice climate change agree,37,37,35,5,1.0,1.0,positive,0.7351,0.674,0.0,0.326,positive,positive,0.8257615007538157,positive
tweet_33,Netflix is typical 😢,neutral,Netflix,2025-08-17 18:32:51,user_29,96,220,4925,netflix is typical,netflix typical,netflix typical,20,18,15,2,-0.16666666666666666,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8637516231931577,neutral
tweet_34,Google is could be better #trending,neutral,Google,2025-08-18 01:33:10,user_394,42,296,6899,google is could be better trending,google could better trending,google could better trending,35,34,28,4,0.5,0.5,positive,0.4404,0.492,0.0,0.508,positive,neutral,0.8225256737977091,positive
tweet_35,Apple is nothing special omg,neutral,Apple,2025-08-06 18:19:34,user_252,11,257,9355,apple is nothing special omg,apple nothing special omg,apple nothing special omg,28,28,25,4,0.35714285714285715,0.5714285714285714,positive,-0.3089,0.0,0.429,0.571,negative,neutral,0.7390619581421036,neutral
tweet_36,Amazon is reasonable option via @user,neutral,Amazon,2025-08-22 04:23:05,user_2,4,367,2093,amazon is reasonable option via,amazon reasonable option,amazon reasonable option,37,31,24,3,0.2,0.6,positive,0.1779,0.459,0.0,0.541,positive,neutral,0.8555560659069711,positive
tweet_37,perfect choice Microsoft! agree?,positive,Microsoft,2025-08-05 22:15:09,user_343,60,70,1269,perfect choice microsoft! agree?,perfect choice microsoft ! agree ?,perfect choice microsoft agree,32,32,30,4,1.0,1.0,positive,0.7351,0.756,0.0,0.244,positive,positive,0.8762960095112375,positive
tweet_38,Climate Change is a regret buying what do you think?,negative,Climate Change,2025-08-17 20:07:25,user_305,66,208,2784,climate change is a regret buying what do you think?,climate change regret buying think ?,climate change regret buying think,52,52,34,5,0.0,0.0,neutral,-0.4215,0.0,0.412,0.588,negative,negative,0.863415035132707,negative
tweet_39,Tesla Model 3 is standard quality what do you think?,neutral,Tesla Model 3,2025-08-13 10:45:56,user_127,71,312,4675,tesla model 3 is standard quality what do you think?,tesla model 3 standard quality think ?,tesla model standard quality think,52,52,34,5,0.0,0.0,neutral,0.0,0.0,0.0,1.0,neutral,neutral,0.7688235090936204,neutral
tweet_40,top notch Amazon! lol,positive,Amazon,2025-08-27 20:54:31,user_224,81,389,2256,top notch amazon! lol,top notch amazon ! lol,top notch amazon lol,21,21,20,4,0.65,0.6,positive,0.6486,0.863,0.0,0.137,positive,positive,0.8457967792137462,positive
tweet_41,totally worth it Tesla Model 3! RT @user:,positive,Tesla Model 3,2025-08-20 16:33:28,user_346,64,242,8677,totally worth it tesla model 3!,totally worth tesla model 3 !,totally worth tesla model,41,31,25,4,0.3,0.1,positive,0.2944,0.422,0.0,0.578,positive,positive,0.7977333771780613,positive
tweet_42,ChatGPT is ordinary 😍,neutral,ChatGPT,2025-08-06 04:31:35,user_4,89,85,3925,chatgpt is ordinary,chatgpt ordinary,chatgpt ordinary,21,19,16,2,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8361659100296791,neutral
tweet_43,perfect choice Amazon! lol,positive,Amazon,2025-08-02 09:43:31,user_474,60,315,1035,perfect choice amazon! lol,perfect choice amazon ! lol,perfect choice amazon lol,26,26,25,4,0.9,0.85,positive,0.802,0.891,0.0,0.109,positive,positive,0.8783866018039275,positive
tweet_44,iPhone 15 is a total disappointment check this out!,negative,iPhone 15,2025-08-25 01:12:42,user_391,8,276,526,iphone 15 is a total disappointment check this out!,iphone 15 total disappointment check !,iphone total disappointment check,51,51,33,4,-0.3,0.575,negative,-0.5563,0.0,0.545,0.455,negative,negative,0.8574969345905284,negative
tweet_45,excellent service Amazon! #fail,positive,Amazon,2025-08-10 11:38:44,user_409,58,199,3566,excellent service amazon! fail,excellent service amazon ! fail,excellent service amazon fail,31,30,29,4,0.25,0.65,positive,0.2263,0.545,0.354,0.101,positive,positive,0.8464944435754885,positive
tweet_46,ChatGPT is a not worth it agree?,negative,ChatGPT,2025-08-29 07:05:13,user_305,40,439,9585,chatgpt is a not worth it agree?,chatgpt not worth agree ?,chatgpt not worth agree,32,32,23,4,-0.15,0.1,negative,-0.4168,0.0,0.654,0.346,negative,negative,0.6648404115014765,negative
tweet_47,totally worth it iPhone 15! 😢,positive,iPhone 15,2025-08-20 13:36:03,user_296,75,449,6976,totally worth it iphone 15!,totally worth iphone 15 !,totally worth iphone,29,27,20,3,0.3,0.1,positive,0.2944,0.523,0.0,0.477,positive,positive,0.8499767894465219,positive
tweet_48,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-29 04:03:00,user_490,53,211,5820,tesla model 3 is a terrible quality hate,tesla model 3 terrible quality hate,tesla model terrible quality hate,41,40,33,5,-0.9,0.95,negative,-0.7783,0.0,0.694,0.306,negative,negative,0.8309913068775833,negative
tweet_49,Google is standard quality agree?,neutral,Google,2025-08-05 00:57:47,user_31,93,271,4239,google is standard quality agree?,google standard quality agree ?,google standard quality agree,33,33,29,4,0.0,0.0,neutral,0.3612,0.455,0.0,0.545,positive,neutral,0.8487692461679656,neutral
tweet_50,best ever Apple! #hate,positive,Apple,2025-08-26 18:56:15,user_313,96,187,3841,best ever apple! hate,best ever apple ! hate,best ever apple hate,22,21,20,4,0.09999999999999998,0.6,neutral,0.128,0.424,0.374,0.202,positive,positive,0.7868697745796147,positive
tweet_51,Google is moderate check this out!,neutral,Google,2025-08-25 02:42:40,user_316,24,109,9576,google is moderate check this out!,google moderate check !,google moderate check,34,34,21,3,0.0,0.7,neutral,0.0,0.0,0.0,1.0,neutral,neutral,0.8095867556218729,neutral
tweet_52,Olympics 2024 is average product omg,neutral,Olympics 2024,2025-08-24 13:09:35,user_301,69,56,9922,olympics 2024 is average product omg,olympics 2024 average product omg,olympics average product omg,36,36,28,4,-0.15,0.39999999999999997,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.815394028662282,neutral
tweet_53,Olympics 2024 is a disgusting @mention,negative,Olympics 2024,2025-08-26 10:04:26,user_92,12,270,3608,olympics 2024 is a disgusting,olympics 2024 disgusting,olympics disgusting,38,29,19,2,-1.0,1.0,negative,-0.5267,0.0,0.773,0.227,negative,negative,0.8238566488814231,negative
tweet_54,Climate Change is typical #amazing,neutral,Climate Change,2025-08-29 20:07:27,user_399,80,114,4356,climate change is typical amazing,climate change typical amazing,climate change typical amazing,34,33,30,4,0.21666666666666673,0.7,positive,0.5859,0.559,0.0,0.441,positive,neutral,0.7479786442277097,positive
tweet_55,brilliant ChatGPT! #love,positive,ChatGPT,2025-08-31 06:56:40,user_62,1,312,5700,brilliant chatgpt! love,brilliant chatgpt ! love,brilliant chatgpt love,24,23,22,3,0.7,0.8,positive,0.8402,0.889,0.0,0.111,positive,positive,0.8976542114495664,positive
tweet_56,Netflix is nothing special #trending,neutral,Netflix,2025-08-29 06:40:18,user_96,35,434,8974,netflix is nothing special trending,netflix nothing special trending,netflix nothing special trending,36,35,32,4,0.35714285714285715,0.5714285714285714,positive,-0.3089,0.0,0.429,0.571,negative,neutral,0.7659410267535938,neutral
tweet_57,Olympics 2024 is moderate lol,neutral,Olympics 2024,2025-08-05 06:06:46,user_359,45,370,9184,olympics 2024 is moderate lol,olympics 2024 moderate lol,olympics moderate lol,29,29,21,3,0.4,0.7,positive,0.4215,0.583,0.0,0.417,positive,neutral,0.7605514547532343,positive
tweet_58,Netflix is ordinary 🔥,neutral,Netflix,2025-08-07 14:01:36,user_441,29,151,4434,netflix is ordinary,netflix ordinary,netflix ordinary,21,19,16,2,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8209274620591145,neutral
tweet_59,Climate Change is a total disappointment #hate,negative,Climate Change,2025-08-13 09:28:15,user_267,60,422,4211,climate change is a total disappointment hate,climate change total disappointment hate,climate change total disappointment hate,46,45,40,5,-0.4666666666666666,0.6833333333333332,negative,-0.8211,0.0,0.716,0.284,negative,negative,0.8649243820756963,negative
tweet_60,Netflix is a complete failure 😢,negative,Netflix,2025-08-03 14:29:13,user_345,3,444,5613,netflix is a complete failure,netflix complete failure,netflix complete failure,31,29,24,3,-0.10833333333333332,0.35,negative,-0.5106,0.0,0.623,0.377,negative,negative,0.8816688914828856,negative
tweet_61,iPhone 15 is a frustrating experience #amazing,negative,iPhone 15,2025-08-11 12:34:00,user_297,32,130,4600,iphone 15 is a frustrating experience amazing,iphone 15 frustrating experience amazing,iphone frustrating experience amazing,46,45,37,4,0.10000000000000003,0.9,positive,0.2263,0.437,0.333,0.23,positive,negative,0.8365462488959353,positive
tweet_62,top notch Google! #fail,positive,Google,2025-08-21 13:33:18,user_293,80,282,5085,top notch google! fail,top notch google ! fail,top notch google fail,23,22,21,4,0.0,0.4,neutral,-0.4019,0.247,0.479,0.274,negative,positive,0.8173928060068941,positive
tweet_63,awesome Olympics 2024! via @user,positive,Olympics 2024,2025-08-23 04:19:44,user_35,31,441,1715,awesome olympics 2024! via,awesome olympics 2024 !,awesome olympics,32,26,16,2,1.0,1.0,positive,0.6249,0.804,0.0,0.196,positive,positive,0.8770337729629458,positive
tweet_64,perfect choice iPhone 15! what do you think?,positive,iPhone 15,2025-08-26 09:52:20,user_407,41,441,1402,perfect choice iphone 15! what do you think?,perfect choice iphone 15 ! think ?,perfect choice iphone think,44,44,27,4,1.0,1.0,positive,0.5719,0.552,0.0,0.448,positive,positive,0.832047248208559,positive
tweet_65,amazing product Netflix! RT @user:,positive,Netflix,2025-08-30 17:38:11,user_90,63,394,1445,amazing product netflix!,amazing product netflix !,amazing product netflix,34,24,23,3,0.6000000000000001,0.9,positive,0.5859,0.655,0.0,0.345,positive,positive,0.8741546677372916,positive
tweet_66,totally worth it ChatGPT! thoughts?,positive,ChatGPT,2025-08-29 22:29:44,user_436,75,286,5762,totally worth it chatgpt! thoughts?,totally worth chatgpt ! thoughts ?,totally worth chatgpt thought,35,35,29,4,0.3,0.1,positive,0.2944,0.422,0.0,0.578,positive,positive,0.8154918103587838,positive
tweet_67,Google is typical 👎,neutral,Google,2025-08-29 19:11:54,user_266,32,364,8096,google is typical,google typical,google typical,19,17,14,2,-0.16666666666666666,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8788596029776408,neutral
tweet_68,highly recommend Netflix! #fail!!!,positive,Netflix,2025-08-03 03:53:26,user_331,66,240,6765,highly recommend netflix! fail!!!,highly recommend netflix ! fail ! ! !,highly recommend netflix fail,34,33,29,4,-0.16999999999999998,0.42000000000000004,negative,-0.2431,0.326,0.44,0.234,negative,positive,0.8930448687724809,positive
tweet_69,Olympics 2024 is a complete failure 😢,negative,Olympics 2024,2025-08-18 15:31:11,user_108,64,123,2303,olympics 2024 is a complete failure,olympics 2024 complete failure,olympics complete failure,37,35,25,3,-0.10833333333333332,0.35,negative,-0.5106,0.0,0.623,0.377,negative,negative,0.9083490526358031,negative
tweet_70,blown away Olympics 2024! #hashtag,positive,Olympics 2024,2025-08-10 05:33:31,user_307,14,302,4171,blown away olympics 2024! hashtag,blown away olympics 2024 ! hashtag,blown away olympics hashtag,34,33,27,4,0.0,0.0,neutral,0.0,0.0,0.0,1.0,neutral,positive,0.8823354646237375,positive
tweet_71,amazing product Microsoft! omg,positive,Microsoft,2025-08-17 18:47:20,user_414,51,87,4391,amazing product microsoft! omg,amazing product microsoft ! omg,amazing product microsoft omg,30,30,29,4,0.6000000000000001,0.9,positive,0.5859,0.559,0.0,0.441,positive,positive,0.8246682667374464,positive
tweet_72,Amazon is it's okay ,neutral,Amazon,2025-08-31 09:37:15,user_118,56,0,253,amazon is it is okay,amazon okay,amazon okay,20,20,11,2,0.5,0.5,positive,0.3818,1.0,0.0,0.0,positive,neutral,0.8680570881597918,positive
tweet_73,amazing product Netflix! 👎,positive,Netflix,2025-08-16 20:36:12,user_91,73,395,2031,amazing product netflix!,amazing product netflix !,amazing product netflix,26,24,23,3,0.6000000000000001,0.9,positive,0.5859,0.655,0.0,0.345,positive,positive,0.8741546677372916,positive
tweet_74,ChatGPT is average product thoughts?,neutral,ChatGPT,2025-08-18 06:04:15,user_483,78,300,4015,chatgpt is average product thoughts?,chatgpt average product thoughts ?,chatgpt average product thought,36,36,31,4,-0.15,0.39999999999999997,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8293425319814657,neutral
tweet_75,Climate Change is a not worth it #fail,negative,Climate Change,2025-08-11 03:32:09,user_112,70,398,8254,climate change is a not worth it fail,climate change not worth fail,climate change not worth fail,38,37,29,5,-0.325,0.2,negative,0.2924,0.379,0.222,0.399,positive,negative,0.7570786030658241,negative
tweet_76,amazing product Google! RT @user:,positive,Google,2025-08-16 00:02:38,user_78,4,297,7871,amazing product google!,amazing product google !,amazing product google,33,23,22,3,0.6000000000000001,0.9,positive,0.5859,0.655,0.0,0.345,positive,positive,0.8868500330952189,positive
tweet_77,Amazon is could be better thoughts?,neutral,Amazon,2025-08-06 14:14:00,user_468,59,67,6646,amazon is could be better thoughts?,amazon could better thoughts ?,amazon could better thought,35,35,27,4,0.5,0.5,positive,0.5574,0.697,0.0,0.303,positive,neutral,0.7804745280474102,positive
tweet_78,Microsoft is a disgusting RT @user:,negative,Microsoft,2025-08-26 23:37:09,user_415,70,281,3483,microsoft is a disgusting,microsoft disgusting,microsoft disgusting,35,25,20,2,-1.0,1.0,negative,-0.5267,0.0,0.773,0.227,negative,negative,0.8260901715330345,negative
tweet_79,amazing product Netflix! #trending,positive,Netflix,2025-08-22 01:06:43,user_200,19,12,2492,amazing product netflix! trending,amazing product netflix ! trending,amazing product netflix trending,34,33,32,4,0.6000000000000001,0.9,positive,0.5859,0.559,0.0,0.441,positive,positive,0.8657575046564924,positive
tweet_80,exceeded expectations Olympics 2024! 👍,positive,Olympics 2024,2025-08-27 01:21:58,user_24,74,217,6861,exceeded expectations olympics 2024!,exceeded expectations olympics 2024 !,exceeded expectation olympics,38,36,29,3,0.0,0.0,neutral,0.0,0.0,0.0,1.0,neutral,positive,0.9325623798280253,positive
tweet_81,highly recommend iPhone 15! #hashtag,positive,iPhone 15,2025-08-22 18:16:26,user_206,47,423,6305,highly recommend iphone 15! hashtag,highly recommend iphone 15 ! hashtag,highly recommend iphone hashtag,36,35,31,4,0.16,0.54,positive,0.4201,0.482,0.0,0.518,positive,positive,0.9125209174428476,positive
tweet_82,ChatGPT is typical 😢,neutral,ChatGPT,2025-08-03 05:16:38,user_144,97,119,7574,chatgpt is typical,chatgpt typical,chatgpt typical,20,18,15,2,-0.16666666666666666,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8295725866489639,neutral
tweet_83,totally worth it iPhone 15! RT @user:,positive,iPhone 15,2025-08-28 00:19:11,user_463,73,238,5510,totally worth it iphone 15!,totally worth iphone 15 !,totally worth iphone,37,27,20,3,0.3,0.1,positive,0.2944,0.523,0.0,0.477,positive,positive,0.8499767894465219,positive
tweet_84,Climate Change is a poor service ,negative,Climate Change,2025-08-21 16:20:25,user_98,47,195,3819,climate change is a poor service,climate change poor service,climate change poor service,33,32,27,4,-0.4,0.6,negative,-0.4767,0.0,0.508,0.492,negative,negative,0.8072426918282218,negative
tweet_85,amazing product iPhone 15! via @user,positive,iPhone 15,2025-08-22 05:25:35,user_170,15,299,8115,amazing product iphone 15! via,amazing product iphone 15 !,amazing product iphone,36,30,22,3,0.6000000000000001,0.9,positive,0.5859,0.655,0.0,0.345,positive,positive,0.8773263083401033,positive
tweet_86,Microsoft is it's okay @mention,neutral,Microsoft,2025-08-04 22:08:16,user_304,89,319,8044,microsoft is it is okay,microsoft okay,microsoft okay,31,23,14,2,0.5,0.5,positive,0.2263,0.655,0.0,0.345,positive,neutral,0.8728873108369236,positive
tweet_87,Amazon is a avoid this 💯,negative,Amazon,2025-08-10 01:17:53,user_227,51,325,2095,amazon is a avoid this,amazon avoid,amazon avoid,24,22,12,2,0.0,0.0,neutral,-0.128,0.436,0.564,0.0,negative,negative,0.8616268170000391,negative
tweet_88,highly recommend Amazon! RT @user:,positive,Amazon,2025-08-21 06:52:36,user_279,9,187,5718,highly recommend amazon!,highly recommend amazon !,highly recommend amazon,34,24,23,3,0.16,0.54,positive,0.5819,0.827,0.0,0.173,positive,positive,0.9188440655692612,positive
tweet_89,exceeded expectations Tesla Model 3! omg,positive,Tesla Model 3,2025-08-16 16:06:15,user_142,53,55,3193,exceeded expectations tesla model 3! omg,exceeded expectations tesla model 3 ! omg,exceeded expectation tesla model omg,40,40,36,5,0.0,0.0,neutral,0.0,0.0,0.0,1.0,neutral,positive,0.8467558912267994,positive
tweet_90,Climate Change is a pathetic 👍,negative,Climate Change,2025-08-04 07:23:29,user_496,51,89,8478,climate change is a pathetic,climate change pathetic,climate change pathetic,30,28,23,3,-1.0,1.0,negative,-0.5719,0.0,0.649,0.351,negative,negative,0.8317679044212083,negative
tweet_91,Climate Change is a useless #love,negative,Climate Change,2025-08-29 10:21:27,user_388,69,146,6362,climate change is a useless love,climate change useless love,climate change useless love,33,32,27,4,0.0,0.4,neutral,0.34,0.467,0.311,0.222,positive,negative,0.7563288981578314,negative
tweet_92,Amazon is mixed feelings #love,neutral,Amazon,2025-08-27 17:31:06,user_119,30,423,9991,amazon is mixed feelings love,amazon mixed feelings love,amazon mixed feeling love,30,29,25,4,0.25,0.425,positive,0.7506,0.881,0.0,0.119,positive,neutral,0.8420824843045809,positive
tweet_93,totally worth it Olympics 2024! via @user!!!,positive,Olympics 2024,2025-08-05 04:59:44,user_356,89,292,8236,totally worth it olympics 2024! via !!!,totally worth olympics 2024 ! ! ! !,totally worth olympics,44,39,22,3,0.3,0.1,positive,0.2944,0.523,0.0,0.477,positive,positive,0.8205276222513801,positive
tweet_94,Amazon is a horrible check this out!,negative,Amazon,2025-08-12 18:49:50,user_62,15,55,5908,amazon is a horrible check this out!,amazon horrible check !,amazon horrible check,36,36,21,3,-1.0,1.0,negative,-0.4215,0.274,0.565,0.161,negative,negative,0.8047697199196124,negative
tweet_95,Climate Change is decent enough 😢,neutral,Climate Change,2025-08-23 10:26:42,user_292,4,491,9585,climate change is decent enough,climate change decent enough,climate change decent enough,33,31,28,4,0.08333333333333333,0.5833333333333333,neutral,0.0,0.0,0.0,1.0,neutral,neutral,0.846016302618843,neutral
