id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers,cleaned_text,no_stopwords,lemmatized_text,original_length,cleaned_length,final_length,word_count
tweet_12,Microsoft is acceptable check this out!,neutral,Microsoft,2025-08-06 03:25:16,user_49,38,270,4385,microsoft is acceptable check this out!,microsoft acceptable check !,microsoft acceptable check,39,39,26,3
tweet_13,Apple is a disgusting 👎,negative,Apple,2025-08-27 04:41:46,user_75,93,468,8773,apple is a disgusting,apple disgusting,apple disgusting,23,21,16,2
tweet_14,Netflix is a pathetic thoughts?,negative,Netflix,2025-08-11 02:14:03,user_430,55,354,2731,netflix is a pathetic thoughts?,netflix pathetic thoughts ?,netflix pathetic thought,31,31,24,3
tweet_15,Google is moderate #hashtag,neutral,Google,2025-08-17 15:45:59,user_18,63,376,2986,google is moderate hashtag,google moderate hashtag,google moderate hashtag,27,26,23,3
tweet_16,Amazon is as expected #amazing,neutral,Amazon,2025-08-05 13:56:00,user_490,17,454,5896,amazon is as expected amazing,amazon expected amazing,amazon expected amazing,30,29,23,3
tweet_17,brilliant Olympics 2024! 👍,positive,Olympics 2024,2025-08-22 23:54:13,user_124,97,456,1910,brilliant olympics 2024!,brilliant olympics 2024 !,brilliant olympics,26,24,18,2
tweet_18,Tesla Model 3 is ordinary 🔥,neutral,Tesla Model 3,2025-08-22 19:49:26,user_18,46,218,9987,tesla model 3 is ordinary,tesla model 3 ordinary,tesla model ordinary,27,25,20,3
tweet_19,best ever iPhone 15! omg,positive,iPhone 15,2025-08-15 18:44:15,user_24,92,280,6281,best ever iphone 15! omg,best ever iphone 15 ! omg,best ever iphone omg,24,24,20,4
tweet_20,Microsoft is not bad check this out!,neutral,Microsoft,2025-08-31 09:53:56,user_90,33,52,1812,microsoft is not bad check this out!,microsoft not bad check !,microsoft not bad check,36,36,23,4
tweet_21,ChatGPT is ordinary omg,neutral,ChatGPT,2025-08-09 10:47:58,user_488,30,350,8447,chatgpt is ordinary omg,chatgpt ordinary omg,chatgpt ordinary omg,23,23,20,3
tweet_22,Climate Change is a disgusting 😍,negative,Climate Change,2025-08-19 08:22:32,user_15,26,90,562,climate change is a disgusting,climate change disgusting,climate change disgusting,32,30,25,3
tweet_23,ChatGPT is a complete failure omg,negative,ChatGPT,2025-08-11 19:05:14,user_127,51,434,6358,chatgpt is a complete failure omg,chatgpt complete failure omg,chatgpt complete failure omg,33,33,28,4
tweet_24,iPhone 15 is a regret buying 😢,negative,iPhone 15,2025-08-19 04:25:40,user_157,96,160,8925,iphone 15 is a regret buying,iphone 15 regret buying,iphone regret buying,30,28,20,3
tweet_25,Google is mixed feelings @mention,neutral,Google,2025-08-05 20:15:54,user_127,73,338,6920,google is mixed feelings,google mixed feelings,google mixed feeling,33,24,20,3
tweet_26,totally worth it iPhone 15! #hate,positive,iPhone 15,2025-08-23 01:07:58,user_406,83,466,6884,totally worth it iphone 15! hate,totally worth iphone 15 ! hate,totally worth iphone hate,33,32,25,4
tweet_27,Apple is a pathetic ,negative,Apple,2025-08-17 08:57:37,user_180,31,377,9262,apple is a pathetic,apple pathetic,apple pathetic,20,19,14,2
tweet_28,Microsoft is a broken 👍,negative,Microsoft,2025-08-05 11:07:40,user_287,58,423,8397,microsoft is a broken,microsoft broken,microsoft broken,23,21,16,2
tweet_29,highly recommend Netflix! via @user,positive,Netflix,2025-08-15 02:26:22,user_216,69,223,5594,highly recommend netflix! via,highly recommend netflix !,highly recommend netflix,35,29,24,3
tweet_30,iPhone 15 is ordinary 😍,neutral,iPhone 15,2025-08-17 11:29:50,user_440,91,134,2403,iphone 15 is ordinary,iphone 15 ordinary,iphone ordinary,23,21,15,2
tweet_31,Google is a pathetic #amazing,negative,Google,2025-08-19 10:45:51,user_146,77,249,9031,google is a pathetic amazing,google pathetic amazing,google pathetic amazing,29,28,23,3
tweet_32,perfect choice Climate Change! agree?,positive,Climate Change,2025-08-03 13:18:57,user_265,71,227,1774,perfect choice climate change! agree?,perfect choice climate change ! agree ?,perfect choice climate change agree,37,37,35,5
tweet_33,Netflix is typical 😢,neutral,Netflix,2025-08-17 18:32:51,user_29,96,220,4925,netflix is typical,netflix typical,netflix typical,20,18,15,2
tweet_34,Google is could be better #trending,neutral,Google,2025-08-18 01:33:10,user_394,42,296,6899,google is could be better trending,google could better trending,google could better trending,35,34,28,4
tweet_35,Apple is nothing special omg,neutral,Apple,2025-08-06 18:19:34,user_252,11,257,9355,apple is nothing special omg,apple nothing special omg,apple nothing special omg,28,28,25,4
tweet_36,Amazon is reasonable option via @user,neutral,Amazon,2025-08-22 04:23:05,user_2,4,367,2093,amazon is reasonable option via,amazon reasonable option,amazon reasonable option,37,31,24,3
tweet_37,perfect choice Microsoft! agree?,positive,Microsoft,2025-08-05 22:15:09,user_343,60,70,1269,perfect choice microsoft! agree?,perfect choice microsoft ! agree ?,perfect choice microsoft agree,32,32,30,4
tweet_38,Climate Change is a regret buying what do you think?,negative,Climate Change,2025-08-17 20:07:25,user_305,66,208,2784,climate change is a regret buying what do you think?,climate change regret buying think ?,climate change regret buying think,52,52,34,5
tweet_39,Tesla Model 3 is standard quality what do you think?,neutral,Tesla Model 3,2025-08-13 10:45:56,user_127,71,312,4675,tesla model 3 is standard quality what do you think?,tesla model 3 standard quality think ?,tesla model standard quality think,52,52,34,5
tweet_40,top notch Amazon! lol,positive,Amazon,2025-08-27 20:54:31,user_224,81,389,2256,top notch amazon! lol,top notch amazon ! lol,top notch amazon lol,21,21,20,4
tweet_41,totally worth it Tesla Model 3! RT @user:,positive,Tesla Model 3,2025-08-20 16:33:28,user_346,64,242,8677,totally worth it tesla model 3!,totally worth tesla model 3 !,totally worth tesla model,41,31,25,4
tweet_42,ChatGPT is ordinary 😍,neutral,ChatGPT,2025-08-06 04:31:35,user_4,89,85,3925,chatgpt is ordinary,chatgpt ordinary,chatgpt ordinary,21,19,16,2
tweet_43,perfect choice Amazon! lol,positive,Amazon,2025-08-02 09:43:31,user_474,60,315,1035,perfect choice amazon! lol,perfect choice amazon ! lol,perfect choice amazon lol,26,26,25,4
tweet_44,iPhone 15 is a total disappointment check this out!,negative,iPhone 15,2025-08-25 01:12:42,user_391,8,276,526,iphone 15 is a total disappointment check this out!,iphone 15 total disappointment check !,iphone total disappointment check,51,51,33,4
tweet_45,excellent service Amazon! #fail,positive,Amazon,2025-08-10 11:38:44,user_409,58,199,3566,excellent service amazon! fail,excellent service amazon ! fail,excellent service amazon fail,31,30,29,4
tweet_46,ChatGPT is a not worth it agree?,negative,ChatGPT,2025-08-29 07:05:13,user_305,40,439,9585,chatgpt is a not worth it agree?,chatgpt not worth agree ?,chatgpt not worth agree,32,32,23,4
tweet_47,totally worth it iPhone 15! 😢,positive,iPhone 15,2025-08-20 13:36:03,user_296,75,449,6976,totally worth it iphone 15!,totally worth iphone 15 !,totally worth iphone,29,27,20,3
tweet_48,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-29 04:03:00,user_490,53,211,5820,tesla model 3 is a terrible quality hate,tesla model 3 terrible quality hate,tesla model terrible quality hate,41,40,33,5
tweet_49,Google is standard quality agree?,neutral,Google,2025-08-05 00:57:47,user_31,93,271,4239,google is standard quality agree?,google standard quality agree ?,google standard quality agree,33,33,29,4
tweet_50,best ever Apple! #hate,positive,Apple,2025-08-26 18:56:15,user_313,96,187,3841,best ever apple! hate,best ever apple ! hate,best ever apple hate,22,21,20,4
tweet_51,Google is moderate check this out!,neutral,Google,2025-08-25 02:42:40,user_316,24,109,9576,google is moderate check this out!,google moderate check !,google moderate check,34,34,21,3
tweet_52,Olympics 2024 is average product omg,neutral,Olympics 2024,2025-08-24 13:09:35,user_301,69,56,9922,olympics 2024 is average product omg,olympics 2024 average product omg,olympics average product omg,36,36,28,4
tweet_53,Olympics 2024 is a disgusting @mention,negative,Olympics 2024,2025-08-26 10:04:26,user_92,12,270,3608,olympics 2024 is a disgusting,olympics 2024 disgusting,olympics disgusting,38,29,19,2
tweet_54,Climate Change is typical #amazing,neutral,Climate Change,2025-08-29 20:07:27,user_399,80,114,4356,climate change is typical amazing,climate change typical amazing,climate change typical amazing,34,33,30,4
tweet_55,brilliant ChatGPT! #love,positive,ChatGPT,2025-08-31 06:56:40,user_62,1,312,5700,brilliant chatgpt! love,brilliant chatgpt ! love,brilliant chatgpt love,24,23,22,3
tweet_56,Netflix is nothing special #trending,neutral,Netflix,2025-08-29 06:40:18,user_96,35,434,8974,netflix is nothing special trending,netflix nothing special trending,netflix nothing special trending,36,35,32,4
tweet_57,Olympics 2024 is moderate lol,neutral,Olympics 2024,2025-08-05 06:06:46,user_359,45,370,9184,olympics 2024 is moderate lol,olympics 2024 moderate lol,olympics moderate lol,29,29,21,3
tweet_58,Netflix is ordinary 🔥,neutral,Netflix,2025-08-07 14:01:36,user_441,29,151,4434,netflix is ordinary,netflix ordinary,netflix ordinary,21,19,16,2
tweet_59,Climate Change is a total disappointment #hate,negative,Climate Change,2025-08-13 09:28:15,user_267,60,422,4211,climate change is a total disappointment hate,climate change total disappointment hate,climate change total disappointment hate,46,45,40,5
tweet_60,Netflix is a complete failure 😢,negative,Netflix,2025-08-03 14:29:13,user_345,3,444,5613,netflix is a complete failure,netflix complete failure,netflix complete failure,31,29,24,3
tweet_61,iPhone 15 is a frustrating experience #amazing,negative,iPhone 15,2025-08-11 12:34:00,user_297,32,130,4600,iphone 15 is a frustrating experience amazing,iphone 15 frustrating experience amazing,iphone frustrating experience amazing,46,45,37,4
tweet_62,top notch Google! #fail,positive,Google,2025-08-21 13:33:18,user_293,80,282,5085,top notch google! fail,top notch google ! fail,top notch google fail,23,22,21,4
tweet_63,awesome Olympics 2024! via @user,positive,Olympics 2024,2025-08-23 04:19:44,user_35,31,441,1715,awesome olympics 2024! via,awesome olympics 2024 !,awesome olympics,32,26,16,2
tweet_64,perfect choice iPhone 15! what do you think?,positive,iPhone 15,2025-08-26 09:52:20,user_407,41,441,1402,perfect choice iphone 15! what do you think?,perfect choice iphone 15 ! think ?,perfect choice iphone think,44,44,27,4
tweet_65,amazing product Netflix! RT @user:,positive,Netflix,2025-08-30 17:38:11,user_90,63,394,1445,amazing product netflix!,amazing product netflix !,amazing product netflix,34,24,23,3
tweet_66,totally worth it ChatGPT! thoughts?,positive,ChatGPT,2025-08-29 22:29:44,user_436,75,286,5762,totally worth it chatgpt! thoughts?,totally worth chatgpt ! thoughts ?,totally worth chatgpt thought,35,35,29,4
tweet_67,Google is typical 👎,neutral,Google,2025-08-29 19:11:54,user_266,32,364,8096,google is typical,google typical,google typical,19,17,14,2
tweet_68,highly recommend Netflix! #fail!!!,positive,Netflix,2025-08-03 03:53:26,user_331,66,240,6765,highly recommend netflix! fail!!!,highly recommend netflix ! fail ! ! !,highly recommend netflix fail,34,33,29,4
tweet_69,Olympics 2024 is a complete failure 😢,negative,Olympics 2024,2025-08-18 15:31:11,user_108,64,123,2303,olympics 2024 is a complete failure,olympics 2024 complete failure,olympics complete failure,37,35,25,3
tweet_70,blown away Olympics 2024! #hashtag,positive,Olympics 2024,2025-08-10 05:33:31,user_307,14,302,4171,blown away olympics 2024! hashtag,blown away olympics 2024 ! hashtag,blown away olympics hashtag,34,33,27,4
tweet_71,amazing product Microsoft! omg,positive,Microsoft,2025-08-17 18:47:20,user_414,51,87,4391,amazing product microsoft! omg,amazing product microsoft ! omg,amazing product microsoft omg,30,30,29,4
tweet_72,Amazon is it's okay ,neutral,Amazon,2025-08-31 09:37:15,user_118,56,0,253,amazon is it is okay,amazon okay,amazon okay,20,20,11,2
tweet_73,amazing product Netflix! 👎,positive,Netflix,2025-08-16 20:36:12,user_91,73,395,2031,amazing product netflix!,amazing product netflix !,amazing product netflix,26,24,23,3
tweet_74,ChatGPT is average product thoughts?,neutral,ChatGPT,2025-08-18 06:04:15,user_483,78,300,4015,chatgpt is average product thoughts?,chatgpt average product thoughts ?,chatgpt average product thought,36,36,31,4
tweet_75,Climate Change is a not worth it #fail,negative,Climate Change,2025-08-11 03:32:09,user_112,70,398,8254,climate change is a not worth it fail,climate change not worth fail,climate change not worth fail,38,37,29,5
tweet_76,amazing product Google! RT @user:,positive,Google,2025-08-16 00:02:38,user_78,4,297,7871,amazing product google!,amazing product google !,amazing product google,33,23,22,3
tweet_77,Amazon is could be better thoughts?,neutral,Amazon,2025-08-06 14:14:00,user_468,59,67,6646,amazon is could be better thoughts?,amazon could better thoughts ?,amazon could better thought,35,35,27,4
tweet_78,Microsoft is a disgusting RT @user:,negative,Microsoft,2025-08-26 23:37:09,user_415,70,281,3483,microsoft is a disgusting,microsoft disgusting,microsoft disgusting,35,25,20,2
tweet_79,amazing product Netflix! #trending,positive,Netflix,2025-08-22 01:06:43,user_200,19,12,2492,amazing product netflix! trending,amazing product netflix ! trending,amazing product netflix trending,34,33,32,4
tweet_80,exceeded expectations Olympics 2024! 👍,positive,Olympics 2024,2025-08-27 01:21:58,user_24,74,217,6861,exceeded expectations olympics 2024!,exceeded expectations olympics 2024 !,exceeded expectation olympics,38,36,29,3
tweet_81,highly recommend iPhone 15! #hashtag,positive,iPhone 15,2025-08-22 18:16:26,user_206,47,423,6305,highly recommend iphone 15! hashtag,highly recommend iphone 15 ! hashtag,highly recommend iphone hashtag,36,35,31,4
tweet_82,ChatGPT is typical 😢,neutral,ChatGPT,2025-08-03 05:16:38,user_144,97,119,7574,chatgpt is typical,chatgpt typical,chatgpt typical,20,18,15,2
tweet_83,totally worth it iPhone 15! RT @user:,positive,iPhone 15,2025-08-28 00:19:11,user_463,73,238,5510,totally worth it iphone 15!,totally worth iphone 15 !,totally worth iphone,37,27,20,3
tweet_84,Climate Change is a poor service ,negative,Climate Change,2025-08-21 16:20:25,user_98,47,195,3819,climate change is a poor service,climate change poor service,climate change poor service,33,32,27,4
tweet_85,amazing product iPhone 15! via @user,positive,iPhone 15,2025-08-22 05:25:35,user_170,15,299,8115,amazing product iphone 15! via,amazing product iphone 15 !,amazing product iphone,36,30,22,3
tweet_86,Microsoft is it's okay @mention,neutral,Microsoft,2025-08-04 22:08:16,user_304,89,319,8044,microsoft is it is okay,microsoft okay,microsoft okay,31,23,14,2
tweet_87,Amazon is a avoid this 💯,negative,Amazon,2025-08-10 01:17:53,user_227,51,325,2095,amazon is a avoid this,amazon avoid,amazon avoid,24,22,12,2
tweet_88,highly recommend Amazon! RT @user:,positive,Amazon,2025-08-21 06:52:36,user_279,9,187,5718,highly recommend amazon!,highly recommend amazon !,highly recommend amazon,34,24,23,3
tweet_89,exceeded expectations Tesla Model 3! omg,positive,Tesla Model 3,2025-08-16 16:06:15,user_142,53,55,3193,exceeded expectations tesla model 3! omg,exceeded expectations tesla model 3 ! omg,exceeded expectation tesla model omg,40,40,36,5
tweet_90,Climate Change is a pathetic 👍,negative,Climate Change,2025-08-04 07:23:29,user_496,51,89,8478,climate change is a pathetic,climate change pathetic,climate change pathetic,30,28,23,3
tweet_91,Climate Change is a useless #love,negative,Climate Change,2025-08-29 10:21:27,user_388,69,146,6362,climate change is a useless love,climate change useless love,climate change useless love,33,32,27,4
tweet_92,Amazon is mixed feelings #love,neutral,Amazon,2025-08-27 17:31:06,user_119,30,423,9991,amazon is mixed feelings love,amazon mixed feelings love,amazon mixed feeling love,30,29,25,4
tweet_93,totally worth it Olympics 2024! via @user!!!,positive,Olympics 2024,2025-08-05 04:59:44,user_356,89,292,8236,totally worth it olympics 2024! via !!!,totally worth olympics 2024 ! ! ! !,totally worth olympics,44,39,22,3
tweet_94,Amazon is a horrible check this out!,negative,Amazon,2025-08-12 18:49:50,user_62,15,55,5908,amazon is a horrible check this out!,amazon horrible check !,amazon horrible check,36,36,21,3
tweet_95,Climate Change is decent enough 😢,neutral,Climate Change,2025-08-23 10:26:42,user_292,4,491,9585,climate change is decent enough,climate change decent enough,climate change decent enough,33,31,28,4
tweet_96,Netflix is not bad what do you think?,neutral,Netflix,2025-08-03 06:12:28,user_128,48,322,113,netflix is not bad what do you think?,netflix not bad think ?,netflix not bad think,37,37,21,4
tweet_97,iPhone 15 is reasonable option what do u think?,neutral,iPhone 15,2025-08-04 15:54:42,user_243,36,116,1856,iphone 15 is reasonable option what do u think?,iphone 15 reasonable option u think ?,iphone reasonable option u think,47,47,32,5
tweet_98,Apple is a useless #fail,negative,Apple,2025-08-24 16:43:29,user_276,52,337,4583,apple is a useless fail,apple useless fail,apple useless fail,24,23,18,3
tweet_99,best ever Netflix! #fail,positive,Netflix,2025-08-11 14:22:53,user_86,27,449,6651,best ever netflix! fail,best ever netflix ! fail,best ever netflix fail,24,23,22,4
tweet_100,Netflix is a complete failure 💯,negative,Netflix,2025-08-10 10:35:22,user_90,94,53,8442,netflix is a complete failure,netflix complete failure,netflix complete failure,31,29,24,3
tweet_101,Microsoft is decent enough via @user,neutral,Microsoft,2025-08-17 11:30:30,user_35,69,155,8759,microsoft is decent enough via,microsoft decent enough,microsoft decent enough,36,30,23,3
tweet_102,Google is moderate #hashtag,neutral,Google,2025-08-14 14:31:07,user_226,15,223,6440,google is moderate hashtag,google moderate hashtag,google moderate hashtag,27,26,23,3
tweet_103,ChatGPT is ordinary 👍!!!,neutral,ChatGPT,2025-08-31 08:43:05,user_440,69,220,4458,chatgpt is ordinary !!!,chatgpt ordinary ! ! !,chatgpt ordinary,24,23,16,2
tweet_104,Amazon is a useless agree?,negative,Amazon,2025-08-03 16:51:03,user_239,83,1,8733,amazon is a useless agree?,amazon useless agree ?,amazon useless agree,26,26,20,3
tweet_105,iPhone 15 is fair price #trending!!!,neutral,iPhone 15,2025-08-08 02:54:49,user_53,69,462,1568,iphone 15 is fair price trending!!!,iphone 15 fair price trending ! ! !,iphone fair price trending,36,35,26,4
tweet_106,Climate Change is could be better 😢,neutral,Climate Change,2025-08-07 12:02:46,user_393,37,424,2867,climate change is could be better,climate change could better,climate change could better,35,33,27,4
tweet_107,ChatGPT is as expected RT @user:,neutral,ChatGPT,2025-08-20 13:26:20,user_113,89,211,4404,chatgpt is as expected,chatgpt expected,chatgpt expected,32,22,16,2
tweet_108,Climate Change is a regret buying 👎,negative,Climate Change,2025-08-08 08:02:36,user_364,7,274,2194,climate change is a regret buying,climate change regret buying,climate change regret buying,35,33,28,4
tweet_109,excellent service Apple! 👎,positive,Apple,2025-08-15 05:25:17,user_466,50,35,2468,excellent service apple!,excellent service apple !,excellent service apple,26,24,23,3
tweet_110,Tesla Model 3 is typical ,neutral,Tesla Model 3,2025-08-01 23:46:12,user_439,74,462,6705,tesla model 3 is typical,tesla model 3 typical,tesla model typical,25,24,19,3
tweet_111,Climate Change is a pathetic #love,negative,Climate Change,2025-08-27 22:58:06,user_30,32,443,6584,climate change is a pathetic love,climate change pathetic love,climate change pathetic love,34,33,28,4
tweet_112,highly recommend iPhone 15! agree?,positive,iPhone 15,2025-08-24 12:26:20,user_436,34,307,7864,highly recommend iphone 15! agree?,highly recommend iphone 15 ! agree ?,highly recommend iphone agree,34,34,29,4
tweet_113,highly recommend Microsoft! 😍,positive,Microsoft,2025-08-05 03:00:51,user_60,63,254,1575,highly recommend microsoft!,highly recommend microsoft !,highly recommend microsoft,29,27,26,3
tweet_114,incredible quality Google! #hate,positive,Google,2025-08-27 23:10:48,user_70,83,190,1032,incredible quality google! hate,incredible quality google ! hate,incredible quality google hate,32,31,30,4
tweet_115,ChatGPT is ordinary agree?,neutral,ChatGPT,2025-08-08 04:18:12,user_1,26,348,5770,chatgpt is ordinary agree?,chatgpt ordinary agree ?,chatgpt ordinary agree,26,26,22,3
tweet_116,ChatGPT is a avoid this omg,negative,ChatGPT,2025-08-22 13:16:58,user_284,27,67,6295,chatgpt is a avoid this omg,chatgpt avoid omg,chatgpt avoid omg,27,27,17,3
tweet_117,perfect choice Amazon! 👍,positive,Amazon,2025-08-08 06:03:37,user_465,97,435,9020,perfect choice amazon!,perfect choice amazon !,perfect choice amazon,24,22,21,3
tweet_118,exceeded expectations Amazon! thoughts?,positive,Amazon,2025-08-30 12:35:56,user_86,55,400,3031,exceeded expectations amazon! thoughts?,exceeded expectations amazon ! thoughts ?,exceeded expectation amazon thought,39,39,35,4
tweet_119,Netflix is moderate 👍,neutral,Netflix,2025-08-21 15:59:01,user_366,40,91,2686,netflix is moderate,netflix moderate,netflix moderate,21,19,16,2
tweet_120,highly recommend Microsoft! lol,positive,Microsoft,2025-08-17 21:14:34,user_412,20,325,5058,highly recommend microsoft! lol,highly recommend microsoft ! lol,highly recommend microsoft lol,31,31,30,4
tweet_121,Amazon is a pathetic 🔥,negative,Amazon,2025-08-17 18:14:40,user_63,31,348,8796,amazon is a pathetic,amazon pathetic,amazon pathetic,22,20,15,2
tweet_122,amazing product Apple! check this out!,positive,Apple,2025-08-11 20:52:11,user_241,23,126,2074,amazing product apple! check this out!,amazing product apple ! check !,amazing product apple check,38,38,27,4
tweet_123,Google is moderate 👍,neutral,Google,2025-08-23 19:36:30,user_192,39,181,5415,google is moderate,google moderate,google moderate,20,18,15,2
tweet_124,love this ChatGPT! thoughts?,positive,ChatGPT,2025-08-16 16:03:34,user_27,17,66,2984,love this chatgpt! thoughts?,love chatgpt ! thoughts ?,love chatgpt thought,28,28,20,3
tweet_125,iPhone 15 is fair price 😢,neutral,iPhone 15,2025-08-11 00:29:57,user_303,46,304,3748,iphone 15 is fair price,iphone 15 fair price,iphone fair price,25,23,17,3
tweet_126,Google is as expected 💯,neutral,Google,2025-08-25 04:46:26,user_200,59,145,3494,google is as expected,google expected,google expected,23,21,15,2
tweet_127,awesome Climate Change! 😢,positive,Climate Change,2025-08-08 10:37:40,user_116,3,28,5056,awesome climate change!,awesome climate change !,awesome climate change,25,23,22,3
tweet_128,Google is typical @mention,neutral,Google,2025-08-22 08:09:35,user_274,46,444,3219,google is typical,google typical,google typical,26,17,14,2
tweet_129,ChatGPT is nothing special thoughts?,neutral,ChatGPT,2025-08-16 12:19:29,user_49,88,189,9429,chatgpt is nothing special thoughts?,chatgpt nothing special thoughts ?,chatgpt nothing special thought,36,36,31,4
tweet_130,Apple is could be better check this out!...,neutral,Apple,2025-08-24 15:38:49,user_183,98,350,525,apple is could be better check this out!...,apple could better check ! ...,apple could better check,43,43,24,4
tweet_131,Google is mixed feelings thoughts?,neutral,Google,2025-08-22 19:49:35,user_168,49,389,2855,google is mixed feelings thoughts?,google mixed feelings thoughts ?,google mixed feeling thought,34,34,28,4
tweet_132,totally worth it Netflix! 💯,positive,Netflix,2025-08-17 09:07:00,user_261,8,165,9551,totally worth it netflix!,totally worth netflix !,totally worth netflix,27,25,21,3
tweet_133,Apple is a pathetic #trending,negative,Apple,2025-08-27 06:24:58,user_194,51,58,9796,apple is a pathetic trending,apple pathetic trending,apple pathetic trending,29,28,23,3
tweet_134,exceeded expectations Google! omg,positive,Google,2025-08-17 19:37:52,user_373,28,390,5614,exceeded expectations google! omg,exceeded expectations google ! omg,exceeded expectation google omg,33,33,31,4
tweet_135,iPhone 15 is nothing special RT @user:,neutral,iPhone 15,2025-08-23 08:55:48,user_465,64,456,1996,iphone 15 is nothing special,iphone 15 nothing special,iphone nothing special,38,28,22,3
tweet_136,best ever Microsoft! 👎,positive,Microsoft,2025-08-26 03:08:37,user_403,58,73,6110,best ever microsoft!,best ever microsoft !,best ever microsoft,22,20,19,3
tweet_137,amazing product Microsoft! #trending,positive,Microsoft,2025-08-22 16:35:19,user_341,85,473,2001,amazing product microsoft! trending,amazing product microsoft ! trending,amazing product microsoft trending,36,35,34,4
tweet_138,Tesla Model 3 is a total disappointment 🔥,negative,Tesla Model 3,2025-08-31 02:13:51,user_335,42,387,2421,tesla model 3 is a total disappointment,tesla model 3 total disappointment,tesla model total disappointment,41,39,32,4
tweet_139,blown away Apple! #fail,positive,Apple,2025-08-28 04:32:26,user_362,78,224,2863,blown away apple! fail,blown away apple ! fail,blown away apple fail,23,22,21,4
tweet_140,ChatGPT is a regret buying check this out!,negative,ChatGPT,2025-08-03 05:42:39,user_121,30,394,4872,chatgpt is a regret buying check this out!,chatgpt regret buying check !,chatgpt regret buying check,42,42,27,4
tweet_141,Microsoft is a total disappointment via @user!!!,negative,Microsoft,2025-08-29 07:22:34,user_228,60,451,4954,microsoft is a total disappointment via !!!,microsoft total disappointment ! ! !,microsoft total disappointment,48,43,30,3
tweet_142,Climate Change is a broken omg,negative,Climate Change,2025-08-12 21:05:59,user_165,28,337,2052,climate change is a broken omg,climate change broken omg,climate change broken omg,30,30,25,4
tweet_143,GOOGLE IS REASONABLE OPTION 👍,neutral,Google,2025-08-11 01:29:32,user_93,14,183,2102,google is reasonable option,google reasonable option,google reasonable option,29,27,24,3
tweet_144,incredible quality Climate Change! #fail,positive,Climate Change,2025-08-20 20:38:15,user_340,66,393,5161,incredible quality climate change! fail,incredible quality climate change ! fail,incredible quality climate change fail,40,39,38,5
tweet_145,Google is a disgusting #fail,negative,Google,2025-08-11 00:55:56,user_272,37,35,2650,google is a disgusting fail,google disgusting fail,google disgusting fail,28,27,22,3
tweet_146,ChatGPT is a waste of money #trending,negative,ChatGPT,2025-08-31 14:26:09,user_186,64,306,8440,chatgpt is a waste of money trending,chatgpt waste money trending,chatgpt waste money trending,37,36,28,4
tweet_147,blown away Apple! lol,positive,Apple,2025-08-22 04:40:52,user_63,61,446,7424,blown away apple! lol,blown away apple ! lol,blown away apple lol,21,21,20,4
tweet_148,excellent service iPhone 15! #hashtag,positive,iPhone 15,2025-08-08 01:39:45,user_479,37,191,9955,excellent service iphone 15! hashtag,excellent service iphone 15 ! hashtag,excellent service iphone hashtag,37,36,32,4
